epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.7957,1.92889,3.1208,1.34476,0.68303,0.50021,0.54779,0.32924,1.62187,1.45163,1.13036,0.00331197,0.00331197,0.00331197
2,123.77,1.55505,1.21086,1.10228,0.86954,0.70274,0.80779,0.51799,1.32516,0.91132,1.03156,0.00663214,0.00663214,0.00663214
3,185.331,1.45311,1.01286,1.05753,0.80901,0.60831,0.75414,0.45471,1.46996,1.28085,1.06509,0.00993912,0.00993912,0.00993912
4,246.465,1.42194,0.95945,1.04156,0.78015,0.67361,0.7425,0.45768,1.37081,1.10705,1.04763,0.0099406,0.0099406,0.0099406
5,307.578,1.32868,0.84181,1.00763,0.896,0.80411,0.89239,0.58884,1.16228,0.74209,0.96759,0.0099208,0.0099208,0.0099208
6,369.004,1.24375,0.76585,0.98886,0.91021,0.85691,0.92386,0.63821,1.07691,0.64094,0.93965,0.009901,0.009901,0.009901
7,430.448,1.18335,0.71922,0.97128,0.91704,0.80228,0.90427,0.59276,1.14203,0.70183,0.95652,0.0098812,0.0098812,0.0098812
8,491.633,1.14653,0.68515,0.95883,0.93038,0.89454,0.94016,0.65607,1.03174,0.58429,0.92918,0.0098614,0.0098614,0.0098614
9,553.101,1.10229,0.65473,0.95175,0.9059,0.81156,0.89463,0.59938,1.09724,0.68446,0.9588,0.0098416,0.0098416,0.0098416
10,614.405,1.10023,0.64459,0.94706,0.9458,0.92448,0.9633,0.70117,0.92531,0.52068,0.90732,0.0098218,0.0098218,0.0098218
11,675.718,1.05869,0.6166,0.93927,0.92617,0.87919,0.95052,0.69244,0.92502,0.5265,0.9074,0.009802,0.009802,0.009802
12,736.796,1.02413,0.60267,0.92782,0.95798,0.91987,0.96324,0.70495,0.91534,0.50754,0.89744,0.0097822,0.0097822,0.0097822
13,798.294,1.01174,0.58791,0.92365,0.92442,0.91778,0.96038,0.72031,0.883,0.48857,0.89795,0.0097624,0.0097624,0.0097624
14,860.192,0.99423,0.57703,0.91997,0.95812,0.91024,0.96476,0.72261,0.86387,0.48518,0.88697,0.0097426,0.0097426,0.0097426
15,921.603,0.97288,0.56445,0.91507,0.95615,0.93619,0.9704,0.72877,0.84026,0.45638,0.87938,0.0097228,0.0097228,0.0097228
16,983.103,0.95988,0.55342,0.91011,0.96619,0.92391,0.97265,0.74649,0.82719,0.45949,0.87532,0.009703,0.009703,0.009703
17,1044.65,0.94639,0.5421,0.909,0.95781,0.9387,0.97467,0.73678,0.83807,0.46259,0.87806,0.0096832,0.0096832,0.0096832
18,1105.78,0.9379,0.54068,0.91041,0.97096,0.93538,0.97837,0.74372,0.80374,0.43397,0.87591,0.0096634,0.0096634,0.0096634
19,1166.89,0.91948,0.527,0.90276,0.95802,0.93544,0.9746,0.74592,0.80219,0.43423,0.8737,0.0096436,0.0096436,0.0096436
20,1227.94,0.9139,0.52337,0.90448,0.97149,0.9371,0.97397,0.75196,0.76778,0.42771,0.86576,0.0096238,0.0096238,0.0096238
21,1289.33,0.89795,0.51488,0.89576,0.96553,0.93851,0.97674,0.76406,0.75203,0.42283,0.86411,0.009604,0.009604,0.009604
22,1350.79,0.89575,0.51126,0.89593,0.97218,0.95376,0.97952,0.76679,0.74154,0.40445,0.85818,0.0095842,0.0095842,0.0095842
23,1412.28,0.88668,0.50648,0.89434,0.9754,0.94188,0.97917,0.76051,0.76496,0.4079,0.86116,0.0095644,0.0095644,0.0095644
24,1473.39,0.87539,0.49995,0.89215,0.97085,0.95675,0.9827,0.77843,0.72728,0.3987,0.85265,0.0095446,0.0095446,0.0095446
25,1534.79,0.87072,0.49727,0.88963,0.97203,0.96802,0.98244,0.77181,0.73028,0.39357,0.8583,0.0095248,0.0095248,0.0095248
26,1595.9,0.86034,0.4896,0.88897,0.96802,0.93241,0.97795,0.76017,0.7787,0.40283,0.86555,0.009505,0.009505,0.009505
27,1657.02,0.85438,0.48465,0.88277,0.97274,0.95289,0.98299,0.78089,0.70545,0.38525,0.85147,0.0094852,0.0094852,0.0094852
28,1718.54,0.84504,0.47827,0.88508,0.96923,0.9677,0.98384,0.79341,0.69991,0.37795,0.85058,0.0094654,0.0094654,0.0094654
29,1779.85,0.84462,0.48483,0.88482,0.97278,0.95716,0.98453,0.78125,0.73057,0.3839,0.85672,0.0094456,0.0094456,0.0094456
30,1840.67,0.8492,0.47942,0.88434,0.96395,0.96958,0.98354,0.78635,0.68496,0.37682,0.8469,0.0094258,0.0094258,0.0094258
31,1901.63,0.82137,0.46734,0.87802,0.97637,0.9698,0.98545,0.80199,0.66626,0.36189,0.84009,0.009406,0.009406,0.009406
32,1963.02,0.81835,0.4651,0.88111,0.9713,0.96802,0.98543,0.8005,0.65784,0.35725,0.84119,0.0093862,0.0093862,0.0093862
33,2023.85,0.81797,0.46399,0.87611,0.97061,0.97131,0.986,0.79787,0.66717,0.35537,0.84497,0.0093664,0.0093664,0.0093664
34,2084.86,0.80779,0.45361,0.8755,0.97899,0.96939,0.98657,0.81274,0.66182,0.35786,0.83923,0.0093466,0.0093466,0.0093466
35,2146.26,0.80103,0.45335,0.87552,0.97513,0.97067,0.98564,0.81174,0.65145,0.34927,0.83861,0.0093268,0.0093268,0.0093268
36,2207.2,0.79539,0.44975,0.87085,0.97918,0.96894,0.98598,0.80718,0.64498,0.34906,0.83815,0.009307,0.009307,0.009307
37,2268.17,0.79527,0.4511,0.87481,0.97644,0.96453,0.98661,0.81537,0.63646,0.34605,0.83795,0.0092872,0.0092872,0.0092872
38,2329.68,0.79449,0.44878,0.87435,0.97668,0.97561,0.98639,0.81135,0.63916,0.34267,0.83689,0.0092674,0.0092674,0.0092674
39,2390.78,0.79142,0.4473,0.87368,0.98036,0.97088,0.98628,0.81262,0.63466,0.33962,0.83584,0.0092476,0.0092476,0.0092476
40,2451.78,0.79438,0.44757,0.87463,0.98336,0.96715,0.98558,0.81052,0.62053,0.33669,0.83493,0.0092278,0.0092278,0.0092278
41,2512.74,0.7892,0.44355,0.87104,0.98063,0.97386,0.98708,0.82127,0.6064,0.32894,0.83065,0.009208,0.009208,0.009208
42,2574.1,0.77466,0.4391,0.87077,0.97949,0.97238,0.98755,0.82227,0.60852,0.32744,0.83259,0.0091882,0.0091882,0.0091882
43,2635.46,0.76774,0.43223,0.86933,0.98481,0.96609,0.98741,0.82246,0.60723,0.32645,0.83037,0.0091684,0.0091684,0.0091684
44,2697.22,0.77187,0.43366,0.86668,0.98218,0.97843,0.98983,0.82692,0.60024,0.32244,0.83006,0.0091486,0.0091486,0.0091486
45,2758.55,0.75812,0.43526,0.86567,0.98386,0.97579,0.98804,0.82413,0.60054,0.32677,0.82942,0.0091288,0.0091288,0.0091288
46,2819.6,0.74252,0.42173,0.86166,0.98024,0.97338,0.98802,0.83268,0.59033,0.31616,0.82632,0.009109,0.009109,0.009109
47,2880.94,0.75675,0.42632,0.86312,0.98077,0.97715,0.98903,0.83373,0.5928,0.31439,0.82686,0.0090892,0.0090892,0.0090892
48,2942.32,0.76988,0.43374,0.86745,0.98473,0.97404,0.98852,0.82837,0.60366,0.31947,0.82857,0.0090694,0.0090694,0.0090694
49,3003.36,0.75925,0.42557,0.86423,0.9815,0.97593,0.98946,0.82949,0.58261,0.31445,0.82464,0.0090496,0.0090496,0.0090496
50,3064.42,0.74706,0.4196,0.86199,0.9826,0.97161,0.9886,0.83878,0.57684,0.31284,0.82573,0.0090298,0.0090298,0.0090298
51,3125.72,0.75144,0.42525,0.86191,0.98172,0.96972,0.98815,0.83236,0.58201,0.31042,0.82654,0.00901,0.00901,0.00901
52,3186.62,0.74396,0.41798,0.86165,0.98543,0.97498,0.98823,0.83583,0.5737,0.30664,0.822,0.0089902,0.0089902,0.0089902
53,3247.53,0.7384,0.41492,0.85787,0.98766,0.97466,0.98879,0.83637,0.57822,0.31115,0.82683,0.0089704,0.0089704,0.0089704
54,3308.49,0.74746,0.42195,0.86069,0.97612,0.98276,0.98892,0.83769,0.57703,0.30865,0.8246,0.0089506,0.0089506,0.0089506
55,3369.39,0.74658,0.4231,0.86044,0.98368,0.97831,0.9891,0.84114,0.55612,0.30104,0.82239,0.0089308,0.0089308,0.0089308
56,3430.66,0.7372,0.41486,0.86022,0.98717,0.97628,0.98908,0.83904,0.56601,0.30436,0.82163,0.008911,0.008911,0.008911
57,3491.66,0.72774,0.41513,0.861,0.98739,0.97574,0.98908,0.83936,0.56278,0.30209,0.82332,0.0088912,0.0088912,0.0088912
58,3552.58,0.72969,0.41181,0.85654,0.9855,0.97496,0.98847,0.83899,0.56118,0.2997,0.82121,0.0088714,0.0088714,0.0088714
59,3613.56,0.72413,0.4131,0.8588,0.98526,0.97618,0.98831,0.84193,0.55536,0.29867,0.81926,0.0088516,0.0088516,0.0088516
60,3674.94,0.71673,0.40416,0.85428,0.98608,0.97743,0.98903,0.84185,0.54963,0.29535,0.81943,0.0088318,0.0088318,0.0088318
61,3735.91,0.72228,0.40638,0.85647,0.9846,0.97857,0.98986,0.84332,0.55294,0.29627,0.81961,0.008812,0.008812,0.008812
62,3797.69,0.72255,0.40813,0.85636,0.98472,0.97964,0.98953,0.84517,0.54746,0.29367,0.8187,0.0087922,0.0087922,0.0087922
63,3859.49,0.7268,0.40879,0.85792,0.98487,0.98136,0.98962,0.84816,0.54126,0.29181,0.81751,0.0087724,0.0087724,0.0087724
64,3920.9,0.71331,0.40143,0.85484,0.98584,0.98097,0.98963,0.8487,0.53746,0.29007,0.8162,0.0087526,0.0087526,0.0087526
65,3982.26,0.70949,0.40102,0.85129,0.98587,0.97883,0.98988,0.85074,0.539,0.28945,0.81607,0.0087328,0.0087328,0.0087328
66,4043.68,0.71459,0.40225,0.85523,0.98755,0.97402,0.99007,0.8521,0.53737,0.28853,0.8152,0.008713,0.008713,0.008713
67,4105.05,0.70944,0.40214,0.8568,0.98647,0.97663,0.98987,0.84861,0.5353,0.28908,0.81595,0.0086932,0.0086932,0.0086932
68,4165.91,0.70845,0.40119,0.85405,0.98656,0.97974,0.9895,0.8458,0.53958,0.28644,0.81575,0.0086734,0.0086734,0.0086734
69,4226.9,0.70052,0.395,0.85219,0.98797,0.98003,0.98999,0.84681,0.53173,0.28453,0.81537,0.0086536,0.0086536,0.0086536
70,4287.87,0.70171,0.3941,0.85314,0.98681,0.97954,0.99018,0.84614,0.52871,0.28374,0.81555,0.0086338,0.0086338,0.0086338
71,4348.87,0.69856,0.39708,0.85289,0.98789,0.97905,0.98939,0.84782,0.52055,0.28026,0.81514,0.008614,0.008614,0.008614
72,4409.71,0.70078,0.3936,0.85287,0.98581,0.98011,0.98952,0.85113,0.52054,0.28187,0.81478,0.0085942,0.0085942,0.0085942
73,4470.63,0.69453,0.39439,0.85034,0.98791,0.97769,0.98968,0.85266,0.51851,0.27937,0.81507,0.0085744,0.0085744,0.0085744
74,4531.87,0.69523,0.39357,0.84955,0.99065,0.97573,0.98969,0.85226,0.51707,0.27803,0.81336,0.0085546,0.0085546,0.0085546
75,4592.76,0.69941,0.39446,0.84988,0.9876,0.97747,0.98955,0.85262,0.51562,0.27885,0.8127,0.0085348,0.0085348,0.0085348
76,4653.59,0.69353,0.39113,0.85219,0.98673,0.97993,0.98988,0.8523,0.51628,0.27789,0.81377,0.008515,0.008515,0.008515
77,4714.54,0.68776,0.38851,0.849,0.98803,0.98145,0.98963,0.85637,0.51134,0.27679,0.81207,0.0084952,0.0084952,0.0084952
78,4775.67,0.69102,0.39041,0.84972,0.98845,0.98145,0.98995,0.85659,0.50921,0.27607,0.81204,0.0084754,0.0084754,0.0084754
79,4836.99,0.69544,0.39174,0.84993,0.98857,0.98037,0.98999,0.85463,0.51005,0.27682,0.81173,0.0084556,0.0084556,0.0084556
80,4897.97,0.69072,0.38832,0.8492,0.98855,0.97974,0.99,0.85388,0.51365,0.27633,0.81206,0.0084358,0.0084358,0.0084358
81,4959.04,0.6886,0.38839,0.85163,0.98589,0.98278,0.99004,0.85231,0.51219,0.27538,0.81159,0.008416,0.008416,0.008416
82,5019.9,0.68973,0.39042,0.84801,0.98476,0.98489,0.99028,0.85434,0.5079,0.27398,0.8112,0.0083962,0.0083962,0.0083962
83,5080.91,0.68221,0.38593,0.84665,0.98989,0.97974,0.99036,0.85648,0.50523,0.27317,0.81081,0.0083764,0.0083764,0.0083764
84,5141.98,0.67239,0.38157,0.84498,0.9893,0.98049,0.99024,0.85638,0.5031,0.27201,0.81051,0.0083566,0.0083566,0.0083566
85,5202.97,0.68462,0.38846,0.84601,0.98938,0.98117,0.99094,0.85726,0.50153,0.27129,0.80992,0.0083368,0.0083368,0.0083368
86,5264.39,0.66644,0.37698,0.84299,0.9907,0.98101,0.99063,0.85761,0.49931,0.2697,0.80989,0.008317,0.008317,0.008317
87,5325.8,0.67782,0.38244,0.8448,0.99103,0.98073,0.99028,0.85768,0.4976,0.2682,0.80947,0.0082972,0.0082972,0.0082972
88,5386.93,0.68004,0.38137,0.84843,0.98991,0.98156,0.9901,0.85551,0.49846,0.26858,0.80957,0.0082774,0.0082774,0.0082774
89,5447.98,0.66441,0.37698,0.84383,0.98788,0.98395,0.99048,0.85547,0.49759,0.26758,0.80905,0.0082576,0.0082576,0.0082576
90,5509.03,0.67132,0.3787,0.84508,0.98821,0.98294,0.99062,0.85713,0.49608,0.26735,0.80885,0.0082378,0.0082378,0.0082378
91,5570.03,0.67678,0.38221,0.84674,0.98732,0.98369,0.99033,0.85703,0.49449,0.26733,0.80858,0.008218,0.008218,0.008218
