epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2597,1.92054,3.03273,1.32817,0.73783,0.45974,0.56477,0.34269,1.54018,1.57927,1.11168,0.00331197,0.00331197,0.00331197
2,67.2156,1.6095,1.32887,1.10984,0.75784,0.32899,0.43264,0.23087,1.87108,1.89783,1.28437,0.00663214,0.00663214,0.00663214
3,100.65,1.58839,1.20892,1.09738,0.60565,0.20371,0.19473,0.09722,2.23463,5.36368,1.40193,0.00993912,0.00993912,0.00993912
4,134.313,1.58556,1.17643,1.09756,0.69475,0.57373,0.62904,0.36686,1.57125,1.53576,1.13637,0.0099406,0.0099406,0.0099406
5,167.662,1.46008,0.99339,1.05667,0.81747,0.748,0.82406,0.52409,1.2565,0.86318,0.99538,0.0099208,0.0099208,0.0099208
6,202.053,1.35809,0.89411,1.02983,0.80975,0.74877,0.81193,0.53499,1.1856,0.8286,0.98479,0.009901,0.009901,0.009901
7,235.628,1.29709,0.82595,1.00722,0.85779,0.79488,0.86427,0.56239,1.14399,0.75197,0.96295,0.0098812,0.0098812,0.0098812
8,268.569,1.24128,0.77715,0.98987,0.92634,0.80543,0.89946,0.59126,1.14906,0.68483,0.96629,0.0098614,0.0098614,0.0098614
9,301.742,1.1911,0.73585,0.9766,0.90486,0.8364,0.91495,0.6331,1.04487,0.62664,0.93623,0.0098416,0.0098416,0.0098416
10,334.857,1.17662,0.71856,0.96985,0.92551,0.84669,0.9193,0.64517,0.99693,0.60937,0.92603,0.0098218,0.0098218,0.0098218
11,368.101,1.14171,0.68916,0.95983,0.90464,0.87535,0.93131,0.66001,0.97295,0.56593,0.91215,0.009802,0.009802,0.009802
12,401.53,1.10687,0.67288,0.94947,0.91011,0.87612,0.92878,0.65974,0.99572,0.562,0.92028,0.0097822,0.0097822,0.0097822
13,434.345,1.08515,0.65276,0.94464,0.94003,0.9028,0.95416,0.68794,0.94046,0.52578,0.89999,0.0097624,0.0097624,0.0097624
14,467.551,1.06733,0.63129,0.94028,0.92887,0.89634,0.94556,0.68952,0.91441,0.51648,0.89844,0.0097426,0.0097426,0.0097426
15,500.572,1.04338,0.6185,0.93508,0.94355,0.90605,0.956,0.7069,0.86677,0.49698,0.89319,0.0097228,0.0097228,0.0097228
16,533.954,1.02739,0.60773,0.93075,0.95038,0.91102,0.96167,0.7151,0.84898,0.49193,0.88544,0.009703,0.009703,0.009703
17,567.189,1.00859,0.59632,0.92589,0.93554,0.93234,0.96756,0.72565,0.83615,0.47789,0.88337,0.0096832,0.0096832,0.0096832
18,600.405,1.00135,0.59102,0.92655,0.9556,0.91343,0.96553,0.72353,0.83982,0.46483,0.88252,0.0096634,0.0096634,0.0096634
19,633.527,0.97946,0.57861,0.92028,0.95137,0.91973,0.96484,0.73026,0.82531,0.46429,0.87956,0.0096436,0.0096436,0.0096436
20,666.926,0.97432,0.5733,0.92022,0.95016,0.93103,0.96556,0.72385,0.83349,0.48376,0.88024,0.0096238,0.0096238,0.0096238
21,699.926,0.95412,0.55855,0.91039,0.94443,0.9356,0.97053,0.74164,0.78481,0.44644,0.86694,0.009604,0.009604,0.009604
22,733.27,0.95021,0.55385,0.90956,0.95534,0.94153,0.97302,0.74534,0.78364,0.43881,0.86933,0.0095842,0.0095842,0.0095842
23,767.812,0.94336,0.55218,0.90954,0.96259,0.9389,0.97509,0.74365,0.78759,0.42909,0.87307,0.0095644,0.0095644,0.0095644
24,800.901,0.93499,0.5422,0.90667,0.97334,0.92796,0.97505,0.74569,0.7828,0.43494,0.86507,0.0095446,0.0095446,0.0095446
25,834.285,0.92987,0.54417,0.90556,0.97751,0.92831,0.97411,0.74984,0.77711,0.42834,0.86867,0.0095248,0.0095248,0.0095248
26,867.582,0.91915,0.5351,0.90402,0.95932,0.95304,0.97705,0.75056,0.7573,0.41962,0.86438,0.009505,0.009505,0.009505
27,901,0.90534,0.52318,0.89568,0.97432,0.9255,0.97345,0.76291,0.7508,0.41779,0.86485,0.0094852,0.0094852,0.0094852
28,934.275,0.90121,0.51762,0.89856,0.96923,0.93654,0.97218,0.76531,0.72878,0.40856,0.85934,0.0094654,0.0094654,0.0094654
29,967.382,0.90084,0.52248,0.89861,0.9706,0.94679,0.97942,0.77542,0.73677,0.39888,0.85909,0.0094456,0.0094456,0.0094456
30,1000.43,0.89754,0.51715,0.89617,0.97404,0.94073,0.97724,0.76631,0.74285,0.39764,0.86019,0.0094258,0.0094258,0.0094258
31,1033.3,0.87735,0.50763,0.89133,0.9728,0.94522,0.9814,0.77148,0.72711,0.39256,0.85466,0.009406,0.009406,0.009406
32,1066.18,0.87066,0.50651,0.89256,0.96462,0.95348,0.98052,0.7765,0.70818,0.38807,0.85162,0.0093862,0.0093862,0.0093862
33,1099.34,0.87167,0.50448,0.88884,0.97883,0.9489,0.98148,0.78661,0.68093,0.37433,0.84715,0.0093664,0.0093664,0.0093664
34,1132.33,0.85451,0.49201,0.88712,0.9743,0.95123,0.98173,0.78726,0.69027,0.37407,0.84946,0.0093466,0.0093466,0.0093466
35,1165.45,0.8559,0.49391,0.88882,0.96253,0.94681,0.97751,0.77849,0.69106,0.3775,0.8472,0.0093268,0.0093268,0.0093268
36,1198.4,0.84421,0.48519,0.88309,0.98251,0.95334,0.9836,0.7933,0.67999,0.36971,0.84481,0.009307,0.009307,0.009307
37,1231.53,0.84538,0.48602,0.88603,0.97374,0.95274,0.98149,0.79047,0.67603,0.36775,0.84467,0.0092872,0.0092872,0.0092872
38,1264.34,0.84847,0.48872,0.88702,0.97793,0.95009,0.98333,0.79644,0.66895,0.36516,0.84572,0.0092674,0.0092674,0.0092674
39,1297.38,0.83537,0.4817,0.88292,0.98374,0.95813,0.98462,0.80131,0.65523,0.35618,0.84036,0.0092476,0.0092476,0.0092476
40,1330.5,0.84741,0.4852,0.88693,0.97425,0.96107,0.98462,0.79797,0.66231,0.35773,0.84229,0.0092278,0.0092278,0.0092278
41,1363.34,0.84181,0.48099,0.88326,0.97514,0.96704,0.98397,0.79643,0.65326,0.35731,0.84065,0.009208,0.009208,0.009208
42,1396.15,0.82458,0.47028,0.88312,0.97395,0.9648,0.98427,0.8086,0.64149,0.35149,0.83783,0.0091882,0.0091882,0.0091882
43,1429.43,0.81817,0.46864,0.88062,0.98352,0.9607,0.98462,0.81111,0.6404,0.34551,0.8384,0.0091684,0.0091684,0.0091684
44,1462.63,0.82228,0.46892,0.87857,0.98159,0.96702,0.98574,0.80807,0.63688,0.35066,0.83598,0.0091486,0.0091486,0.0091486
45,1495.61,0.81509,0.47158,0.8783,0.97974,0.96348,0.98593,0.81025,0.63993,0.34742,0.83642,0.0091288,0.0091288,0.0091288
46,1528.59,0.79999,0.45927,0.87424,0.98274,0.96684,0.98639,0.81109,0.63242,0.3437,0.83575,0.009109,0.009109,0.009109
47,1561.75,0.8057,0.45862,0.87425,0.97899,0.9636,0.98541,0.81789,0.61701,0.33689,0.83392,0.0090892,0.0090892,0.0090892
48,1595.4,0.82186,0.46926,0.8792,0.97935,0.96477,0.98622,0.81306,0.62092,0.33488,0.8321,0.0090694,0.0090694,0.0090694
49,1628.36,0.80319,0.45845,0.87366,0.98119,0.9724,0.98632,0.81317,0.61772,0.33142,0.8328,0.0090496,0.0090496,0.0090496
50,1661.23,0.79879,0.45672,0.87292,0.97691,0.96772,0.98632,0.81617,0.61167,0.33413,0.83453,0.0090298,0.0090298,0.0090298
51,1694.31,0.80342,0.46005,0.87438,0.97954,0.96952,0.98699,0.81632,0.60563,0.3282,0.83308,0.00901,0.00901,0.00901
52,1727.18,0.79294,0.45247,0.87254,0.97475,0.97471,0.98706,0.82099,0.59762,0.3267,0.82857,0.0089902,0.0089902,0.0089902
53,1760.43,0.78549,0.45005,0.8689,0.98464,0.96187,0.98756,0.82288,0.60037,0.32765,0.82933,0.0089704,0.0089704,0.0089704
54,1793.19,0.79714,0.45435,0.87161,0.98146,0.96606,0.98752,0.82343,0.59836,0.3244,0.82911,0.0089506,0.0089506,0.0089506
55,1826.31,0.79937,0.45682,0.87217,0.98198,0.97087,0.98781,0.82237,0.59928,0.32347,0.82973,0.0089308,0.0089308,0.0089308
56,1859.75,0.78957,0.44892,0.87182,0.98261,0.96687,0.98752,0.82366,0.59945,0.32162,0.82913,0.008911,0.008911,0.008911
57,1893,0.7768,0.44752,0.87244,0.97444,0.97549,0.98781,0.8259,0.58912,0.31987,0.82769,0.0088912,0.0088912,0.0088912
58,1926.51,0.77536,0.44229,0.86661,0.98269,0.97215,0.98757,0.8266,0.58526,0.31668,0.82692,0.0088714,0.0088714,0.0088714
59,1959.76,0.77173,0.44194,0.86987,0.98505,0.97363,0.98782,0.82801,0.58187,0.31481,0.8263,0.0088516,0.0088516,0.0088516
60,1993.02,0.76403,0.43632,0.86444,0.97606,0.9784,0.98757,0.82762,0.57709,0.31112,0.82601,0.0088318,0.0088318,0.0088318
61,2025.85,0.77305,0.4378,0.86804,0.9815,0.97497,0.9878,0.82792,0.57821,0.31187,0.82431,0.008812,0.008812,0.008812
62,2058.74,0.76962,0.44062,0.86569,0.98075,0.97716,0.98825,0.82549,0.57566,0.31187,0.82475,0.0087922,0.0087922,0.0087922
63,2091.55,0.77471,0.43993,0.86839,0.98633,0.97117,0.98769,0.83069,0.57301,0.31078,0.82392,0.0087724,0.0087724,0.0087724
64,2124.52,0.76094,0.43032,0.86373,0.98083,0.97181,0.98733,0.83038,0.56589,0.30698,0.82254,0.0087526,0.0087526,0.0087526
65,2157.15,0.76064,0.43283,0.86192,0.97909,0.97276,0.98721,0.82997,0.56515,0.3091,0.82103,0.0087328,0.0087328,0.0087328
66,2189.9,0.76491,0.43363,0.8659,0.98277,0.97451,0.98766,0.83236,0.56471,0.3053,0.82239,0.008713,0.008713,0.008713
67,2222.69,0.75431,0.42917,0.86569,0.97935,0.97366,0.98753,0.83382,0.56286,0.30353,0.82196,0.0086932,0.0086932,0.0086932
68,2255.91,0.76104,0.43208,0.8663,0.98236,0.97371,0.98835,0.8377,0.55751,0.30158,0.82131,0.0086734,0.0086734,0.0086734
69,2289.56,0.75142,0.42598,0.86312,0.98237,0.97338,0.98839,0.83764,0.55329,0.29827,0.81989,0.0086536,0.0086536,0.0086536
70,2322.14,0.75071,0.42647,0.86198,0.98078,0.97638,0.98865,0.83686,0.55209,0.29834,0.81988,0.0086338,0.0086338,0.0086338
71,2354.84,0.74492,0.42575,0.862,0.98111,0.97557,0.98892,0.83968,0.55172,0.29792,0.81927,0.008614,0.008614,0.008614
72,2387.9,0.74826,0.42391,0.8635,0.9828,0.97469,0.989,0.83767,0.54972,0.29686,0.81951,0.0085942,0.0085942,0.0085942
73,2420.6,0.74331,0.42482,0.86151,0.98128,0.97554,0.9895,0.84044,0.54885,0.29689,0.8191,0.0085744,0.0085744,0.0085744
74,2453.54,0.74086,0.42233,0.85916,0.98188,0.97413,0.98908,0.8387,0.54726,0.29678,0.81929,0.0085546,0.0085546,0.0085546
75,2486.29,0.74747,0.42415,0.86072,0.98393,0.97404,0.9889,0.83698,0.54519,0.29535,0.81863,0.0085348,0.0085348,0.0085348
76,2518.97,0.74201,0.4199,0.86208,0.98272,0.97532,0.98915,0.83946,0.5431,0.29371,0.81807,0.008515,0.008515,0.008515
77,2551.66,0.73827,0.41822,0.86144,0.98295,0.97462,0.98899,0.84013,0.54113,0.29254,0.81735,0.0084952,0.0084952,0.0084952
78,2584.3,0.73932,0.42176,0.85998,0.97994,0.9782,0.98863,0.84035,0.5393,0.2928,0.81754,0.0084754,0.0084754,0.0084754
79,2617,0.745,0.42244,0.86038,0.97998,0.97726,0.98878,0.84163,0.53808,0.29228,0.81733,0.0084556,0.0084556,0.0084556
80,2650.06,0.73395,0.41649,0.8587,0.98309,0.97797,0.98936,0.84221,0.53739,0.29081,0.81708,0.0084358,0.0084358,0.0084358
81,2682.99,0.73145,0.41331,0.8611,0.98166,0.97858,0.98952,0.84326,0.53449,0.28919,0.81683,0.008416,0.008416,0.008416
82,2716.68,0.73958,0.41904,0.85946,0.98089,0.97909,0.98937,0.84375,0.53229,0.28883,0.81648,0.0083962,0.0083962,0.0083962
