epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.0993,1.61556,2.35702,1.29837,0.64122,0.46599,0.53365,0.34895,1.18438,1.04275,1.09426,0.00330128,0.00330128,0.00330128
2,88.1357,1.18074,1.00976,1.05419,0.76851,0.62726,0.71078,0.49159,0.99973,0.7933,0.98162,0.00662148,0.00662148,0.00662148
3,132.121,1.13628,0.89596,1.00716,0.72897,0.57176,0.66794,0.45601,1.06952,1.03205,1.01014,0.00992848,0.00992848,0.00992848
4,175.237,1.09726,0.83244,0.99203,0.76419,0.55183,0.64758,0.41677,1.21426,0.91301,1.03745,0.0099406,0.0099406,0.0099406
5,218.34,1.04702,0.78046,0.97513,0.79788,0.70106,0.7804,0.55322,0.91367,0.70169,0.94449,0.0099208,0.0099208,0.0099208
6,261.926,1.0172,0.74791,0.96507,0.84951,0.67147,0.78394,0.55984,0.91169,0.68104,0.94103,0.009901,0.009901,0.009901
7,305.371,0.99382,0.73333,0.95424,0.7807,0.65643,0.74234,0.53112,0.94892,0.71126,0.95618,0.0098812,0.0098812,0.0098812
8,348.888,0.97959,0.7124,0.95455,0.83538,0.71733,0.798,0.58525,0.85632,0.59819,0.9217,0.0098614,0.0098614,0.0098614
9,392.473,0.9643,0.69305,0.94913,0.862,0.72902,0.82668,0.60952,0.84447,0.57518,0.91928,0.0098416,0.0098416,0.0098416
10,435.859,0.94454,0.6798,0.94469,0.81972,0.69575,0.79683,0.57901,0.9143,0.62079,0.93775,0.0098218,0.0098218,0.0098218
11,478.893,0.92822,0.65735,0.93948,0.86106,0.72049,0.8166,0.60687,0.8387,0.59571,0.91854,0.009802,0.009802,0.009802
12,521.844,0.91835,0.6538,0.93817,0.8147,0.75315,0.82268,0.60934,0.85715,0.57361,0.91995,0.0097822,0.0097822,0.0097822
13,564.714,0.9021,0.63082,0.92975,0.86382,0.67186,0.80304,0.59318,0.90919,0.61935,0.93353,0.0097624,0.0097624,0.0097624
14,607.64,0.89972,0.63916,0.93258,0.84679,0.73584,0.83368,0.62724,0.79789,0.55471,0.91246,0.0097426,0.0097426,0.0097426
15,651.006,0.88074,0.6184,0.92721,0.80319,0.77959,0.83131,0.62581,0.80653,0.54978,0.91131,0.0097228,0.0097228,0.0097228
16,694.099,0.87986,0.61941,0.92744,0.86523,0.74149,0.83427,0.63122,0.79874,0.54151,0.90941,0.009703,0.009703,0.009703
17,737.76,0.8737,0.61388,0.92586,0.83331,0.75125,0.82242,0.62893,0.76707,0.53472,0.89979,0.0096832,0.0096832,0.0096832
18,780.625,0.8813,0.61002,0.9264,0.82204,0.75187,0.82629,0.61859,0.81897,0.55762,0.90781,0.0096634,0.0096634,0.0096634
19,823.483,0.8684,0.60271,0.92407,0.84799,0.74827,0.8341,0.62989,0.81474,0.54803,0.91569,0.0096436,0.0096436,0.0096436
20,866.4,0.86429,0.59934,0.92283,0.81387,0.76508,0.83592,0.63832,0.78584,0.52994,0.90424,0.0096238,0.0096238,0.0096238
21,909.783,0.85725,0.59484,0.91934,0.83013,0.76556,0.83602,0.63569,0.80186,0.52603,0.9061,0.009604,0.009604,0.009604
22,952.897,0.85918,0.59074,0.91895,0.83485,0.7545,0.83043,0.62975,0.83946,0.52992,0.91094,0.0095842,0.0095842,0.0095842
23,995.803,0.84356,0.58289,0.92088,0.85832,0.73607,0.83203,0.63527,0.79931,0.54781,0.90281,0.0095644,0.0095644,0.0095644
24,1038.79,0.84404,0.57828,0.91736,0.84059,0.75547,0.8369,0.64279,0.76661,0.51953,0.90208,0.0095446,0.0095446,0.0095446
25,1082.07,0.84711,0.57778,0.91546,0.85679,0.74859,0.84153,0.64398,0.78327,0.51706,0.9069,0.0095248,0.0095248,0.0095248
26,1125.41,0.82999,0.56677,0.91393,0.84703,0.74886,0.83608,0.63595,0.79381,0.52252,0.90864,0.009505,0.009505,0.009505
27,1168.42,0.83551,0.56674,0.91268,0.85645,0.74476,0.8363,0.63706,0.77325,0.51079,0.90018,0.0094852,0.0094852,0.0094852
28,1211.36,0.83202,0.5617,0.91418,0.86719,0.73235,0.8388,0.65329,0.74882,0.50638,0.89574,0.0094654,0.0094654,0.0094654
29,1254.73,0.82549,0.55936,0.91321,0.83014,0.7505,0.82938,0.63627,0.75526,0.50978,0.89754,0.0094456,0.0094456,0.0094456
30,1297.69,0.81986,0.55674,0.91071,0.85833,0.77142,0.85675,0.66493,0.7364,0.48927,0.89321,0.0094258,0.0094258,0.0094258
31,1340.91,0.81775,0.55254,0.91131,0.85419,0.7654,0.85449,0.65951,0.75501,0.49411,0.89899,0.009406,0.009406,0.009406
32,1384.11,0.81162,0.54758,0.90913,0.84116,0.77036,0.84249,0.65713,0.73802,0.4946,0.89907,0.0093862,0.0093862,0.0093862
33,1427.19,0.81372,0.54842,0.90849,0.85778,0.76664,0.84892,0.66152,0.71993,0.48299,0.89143,0.0093664,0.0093664,0.0093664
34,1470.06,0.80932,0.54087,0.90622,0.83755,0.76369,0.83904,0.65197,0.73876,0.50133,0.89494,0.0093466,0.0093466,0.0093466
35,1512.98,0.81223,0.53886,0.90563,0.85687,0.76932,0.85564,0.66751,0.72545,0.48642,0.89535,0.0093268,0.0093268,0.0093268
36,1556.2,0.80821,0.53813,0.90576,0.86527,0.76976,0.85399,0.65917,0.72509,0.48671,0.89406,0.009307,0.009307,0.009307
37,1599.11,0.81199,0.54408,0.90645,0.85417,0.77482,0.84857,0.65372,0.77979,0.49928,0.90337,0.0092872,0.0092872,0.0092872
38,1642.01,0.80371,0.53246,0.90148,0.86932,0.75819,0.85241,0.65947,0.74323,0.49066,0.89386,0.0092674,0.0092674,0.0092674
39,1685.05,0.7883,0.52385,0.89825,0.83974,0.77563,0.84718,0.65281,0.76172,0.49476,0.89787,0.0092476,0.0092476,0.0092476
40,1727.86,0.79276,0.52358,0.9005,0.85362,0.77384,0.85177,0.66196,0.72322,0.48481,0.89079,0.0092278,0.0092278,0.0092278
41,1770.71,0.80554,0.52922,0.90518,0.85952,0.75831,0.84901,0.65924,0.7191,0.48201,0.89102,0.009208,0.009208,0.009208
