epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3802,1.58858,2.04664,1.31396,0.60067,0.44235,0.49036,0.31194,1.23016,1.10048,1.10873,0.00330128,0.00330128,0.00330128
2,53.3801,1.25427,1.10537,1.0734,0.66181,0.44239,0.51473,0.32722,1.21106,1.07911,1.05175,0.00662148,0.00662148,0.00662148
3,80.5616,1.23981,1.01836,1.03574,0.65403,0.46646,0.50946,0.32686,1.20932,1.45159,1.05903,0.00992848,0.00992848,0.00992848
4,106.827,1.22574,0.98156,1.0315,0.75351,0.50071,0.60008,0.39485,1.13703,1.14587,1.01051,0.0099406,0.0099406,0.0099406
5,133.739,1.14348,0.89839,1.00476,0.73026,0.59525,0.66125,0.43627,1.06193,1.09317,0.98685,0.0099208,0.0099208,0.0099208
6,160.496,1.10236,0.85081,0.99179,0.74656,0.66827,0.72428,0.50572,0.95738,0.88522,0.94759,0.009901,0.009901,0.009901
7,186.52,1.06859,0.82366,0.97828,0.78105,0.57289,0.668,0.45772,1.05652,0.84921,0.9879,0.0098812,0.0098812,0.0098812
8,212.768,1.04861,0.79893,0.97366,0.77563,0.60211,0.67973,0.46972,1.00812,0.83156,0.97456,0.0098614,0.0098614,0.0098614
9,238.751,1.03138,0.77794,0.97038,0.74705,0.63338,0.71594,0.49647,1.05467,0.73984,0.98295,0.0098416,0.0098416,0.0098416
10,264.678,1.01086,0.75549,0.96375,0.79497,0.69897,0.78244,0.56051,0.8933,0.66328,0.93711,0.0098218,0.0098218,0.0098218
11,290.598,0.991,0.73254,0.95771,0.77791,0.65525,0.73971,0.50797,1.02975,0.7501,0.96912,0.009802,0.009802,0.009802
12,316.364,0.97548,0.72447,0.95339,0.79602,0.7052,0.77547,0.55685,0.9234,0.63997,0.94252,0.0097822,0.0097822,0.0097822
