epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0677,1.3653,3.71407,1.44626,0.4636,0.22953,0.14324,0.09474,1.3057,2.23461,1.28993,0.00329588,0.00329588,0.00329588
2,73.8111,1.1738,1.9376,1.28552,0.48376,0.27428,0.24064,0.15067,1.35965,2.09127,1.29052,0.00661609,0.00661609,0.00661609
3,110.189,1.17805,1.60629,1.26025,0.2555,0.29546,0.22849,0.14301,1.42972,2.29856,1.36234,0.0099231,0.0099231,0.0099231
4,146.386,1.20847,1.55289,1.27385,0.30415,0.26705,0.20997,0.11852,1.55759,2.29665,1.44373,0.0099406,0.0099406,0.0099406
5,182.739,1.19778,1.46686,1.27302,0.39105,0.30325,0.27677,0.16884,1.45256,2.10735,1.3992,0.0099208,0.0099208,0.0099208
6,219.41,1.1848,1.3275,1.25237,0.44499,0.39695,0.34318,0.20765,1.39325,1.90504,1.35426,0.009901,0.009901,0.009901
7,255.7,1.15222,1.24303,1.24395,0.51305,0.38942,0.38133,0.23679,1.30617,1.77689,1.25703,0.0098812,0.0098812,0.0098812
8,292.169,1.10899,1.15836,1.20446,0.5129,0.41532,0.39921,0.24695,1.34518,1.77202,1.32741,0.0098614,0.0098614,0.0098614
9,328.617,1.1001,1.11409,1.20642,0.53565,0.41522,0.41349,0.25078,1.34826,1.69567,1.30045,0.0098416,0.0098416,0.0098416
10,365.047,1.07694,1.07358,1.18593,0.60081,0.38225,0.41547,0.25479,1.36807,1.70838,1.31302,0.0098218,0.0098218,0.0098218
11,401.662,1.05936,1.03733,1.17618,0.58731,0.4303,0.46254,0.28204,1.28577,1.58279,1.23001,0.009802,0.009802,0.009802
12,437.967,1.04826,0.98589,1.17063,0.55173,0.38908,0.41651,0.25537,1.27989,1.68814,1.25216,0.0097822,0.0097822,0.0097822
13,474.143,1.04871,0.9828,1.17325,0.55114,0.44445,0.43521,0.27021,1.27392,1.6185,1.26,0.0097624,0.0097624,0.0097624
14,510.269,1.02792,0.9489,1.16049,0.58693,0.45085,0.45887,0.28887,1.27,1.57089,1.22338,0.0097426,0.0097426,0.0097426
15,546.821,1.01719,0.93254,1.15051,0.61049,0.47628,0.48798,0.3065,1.27949,1.61189,1.23198,0.0097228,0.0097228,0.0097228
16,583.203,0.99362,0.88779,1.13514,0.58014,0.49164,0.5038,0.32954,1.22373,1.61103,1.21696,0.009703,0.009703,0.009703
17,619.655,0.98372,0.87636,1.13369,0.66241,0.49003,0.52531,0.33213,1.21401,1.51074,1.19463,0.0096832,0.0096832,0.0096832
18,655.933,0.97916,0.86158,1.13408,0.60491,0.46596,0.47975,0.296,1.24233,1.5819,1.23235,0.0096634,0.0096634,0.0096634
19,692.774,0.97104,0.8494,1.12376,0.66059,0.51821,0.53752,0.3394,1.19028,1.44099,1.19805,0.0096436,0.0096436,0.0096436
20,729.895,0.96148,0.83021,1.11762,0.62085,0.51254,0.51211,0.32365,1.2159,1.50468,1.20331,0.0096238,0.0096238,0.0096238
21,765.96,0.96744,0.83717,1.12466,0.62659,0.52934,0.54594,0.35343,1.18875,1.49133,1.19832,0.009604,0.009604,0.009604
22,802.493,0.95153,0.80981,1.11973,0.61864,0.49867,0.5104,0.32457,1.22959,1.46959,1.2337,0.0095842,0.0095842,0.0095842
23,838.748,0.94691,0.7943,1.11084,0.6213,0.52579,0.52493,0.34276,1.17626,1.43647,1.1921,0.0095644,0.0095644,0.0095644
24,874.962,0.92028,0.74877,1.09145,0.67191,0.55821,0.56663,0.35925,1.18385,1.43104,1.21085,0.0095446,0.0095446,0.0095446
