epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5061,1.38136,4.28264,1.42638,0.42221,0.18545,0.13306,0.07934,1.36368,2.36402,1.2763,0.00329588,0.00329588,0.00329588
2,40.5202,1.24791,2.05016,1.31498,0.42485,0.22007,0.16734,0.09023,1.53265,2.44157,1.33547,0.00661609,0.00661609,0.00661609
3,65.3265,1.3358,2.0018,1.34951,0.31757,0.1214,0.04561,0.02377,1.92748,4.78011,1.97356,0.0099231,0.0099231,0.0099231
4,84.8319,1.42581,2.12611,1.42121,0.58684,0.11988,0.11787,0.06376,1.84857,4.28967,1.89927,0.0099406,0.0099406,0.0099406
5,104.727,1.38953,1.97098,1.40781,0.18495,0.18783,0.09566,0.05401,1.80483,4.83066,1.74447,0.0099208,0.0099208,0.0099208
6,124.258,1.34788,1.78451,1.35879,0.22137,0.12979,0.0883,0.04824,1.93151,3.95618,1.97971,0.009901,0.009901,0.009901
7,143.81,1.31177,1.68033,1.35492,0.39384,0.23038,0.15858,0.088,1.68029,2.66713,1.55907,0.0098812,0.0098812,0.0098812
8,163.506,1.25576,1.55204,1.30702,0.39265,0.33974,0.29224,0.16833,1.46979,2.21925,1.41248,0.0098614,0.0098614,0.0098614
9,183.471,1.23403,1.48311,1.30489,0.49421,0.3531,0.33702,0.20302,1.41915,1.94209,1.36958,0.0098416,0.0098416,0.0098416
10,203.431,1.2058,1.38976,1.27574,0.42587,0.36492,0.34191,0.21306,1.40172,1.87484,1.33735,0.0098218,0.0098218,0.0098218
11,223.412,1.17876,1.33977,1.26083,0.51384,0.36082,0.35366,0.21464,1.3735,1.94912,1.37066,0.009802,0.009802,0.009802
12,242.962,1.16218,1.28229,1.24989,0.47915,0.36525,0.36061,0.21271,1.36886,1.94026,1.33435,0.0097822,0.0097822,0.0097822
13,262.666,1.15617,1.25642,1.24306,0.4928,0.43498,0.40795,0.25085,1.34274,1.77037,1.31305,0.0097624,0.0097624,0.0097624
14,282.766,1.13955,1.21493,1.23793,0.48254,0.34408,0.34309,0.20897,1.3613,1.88577,1.32016,0.0097426,0.0097426,0.0097426
15,302.469,1.10714,1.16714,1.21499,0.51778,0.40501,0.40159,0.24742,1.37672,1.88074,1.34255,0.0097228,0.0097228,0.0097228
16,322.248,1.09456,1.10432,1.20578,0.52213,0.41952,0.42567,0.2603,1.33815,1.75683,1.31846,0.009703,0.009703,0.009703
17,342.122,1.07325,1.091,1.1964,0.59925,0.47315,0.47417,0.28906,1.2943,1.58312,1.26899,0.0096832,0.0096832,0.0096832
18,361.965,1.06427,1.06215,1.18833,0.59846,0.39818,0.42397,0.2671,1.29619,1.7175,1.27106,0.0096634,0.0096634,0.0096634
19,381.528,1.06029,1.03998,1.18343,0.58734,0.45635,0.47608,0.29475,1.24725,1.53731,1.2239,0.0096436,0.0096436,0.0096436
20,401.304,1.04894,1.02207,1.17491,0.53077,0.47144,0.473,0.29585,1.2906,1.57274,1.25598,0.0096238,0.0096238,0.0096238
