epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.1811,3.29982,4.99721,4.23654,0.00189,0.22738,0.0015,0.00044,3.08374,7.94974,5.08451,0.00332046,0.00332046,0.00332046
2,142.977,2.87313,4.6221,3.57211,0.30298,0.01978,0.00277,0.00077,2.58599,4.22713,3.19918,0.00664062,0.00664062,0.00664062
3,211.866,2.07019,3.83743,2.54134,0.26924,0.0674,0.0279,0.01092,2.07339,4.43546,2.60351,0.00994758,0.00994758,0.00994758
4,279.583,1.78402,3.26158,2.17074,0.24427,0.16462,0.09812,0.04601,1.79614,3.08313,2.2375,0.0099406,0.0099406,0.0099406
5,346.32,1.65664,2.96474,2.03082,0.25451,0.24347,0.16071,0.08245,1.69409,2.58557,2.11066,0.0099208,0.0099208,0.0099208
6,413.503,1.57865,2.77542,1.93347,0.25838,0.2642,0.1914,0.10395,1.65252,2.53552,2.0268,0.009901,0.009901,0.009901
7,480.228,1.52773,2.64419,1.87901,0.36463,0.31356,0.25561,0.1408,1.55423,2.28234,1.93392,0.0098812,0.0098812,0.0098812
8,546.625,1.48334,2.52391,1.82948,0.38459,0.3443,0.30206,0.17316,1.51774,2.16352,1.88918,0.0098614,0.0098614,0.0098614
9,613.443,1.46061,2.43212,1.80365,0.37677,0.35201,0.30775,0.17355,1.5036,2.12783,1.83969,0.0098416,0.0098416,0.0098416
10,680.099,1.42545,2.35583,1.76652,0.40293,0.38011,0.34313,0.20001,1.44158,2.05767,1.79551,0.0098218,0.0098218,0.0098218
11,746.572,1.40155,2.29258,1.74602,0.48542,0.40534,0.40657,0.24071,1.41458,1.89692,1.76588,0.009802,0.009802,0.009802
12,813.053,1.38718,2.24293,1.72737,0.45209,0.41903,0.40579,0.24406,1.40307,1.89663,1.76367,0.0097822,0.0097822,0.0097822
13,879.436,1.3711,2.1859,1.71142,0.50249,0.4345,0.4415,0.26616,1.37216,1.80079,1.72642,0.0097624,0.0097624,0.0097624
14,945.807,1.35871,2.15201,1.6944,0.52691,0.43957,0.46939,0.28765,1.35218,1.73268,1.69386,0.0097426,0.0097426,0.0097426
15,1012.13,1.34182,2.10795,1.67693,0.53461,0.46841,0.49231,0.30587,1.33034,1.66051,1.67256,0.0097228,0.0097228,0.0097228
16,1078.38,1.32128,2.07007,1.66127,0.53505,0.47675,0.49758,0.31198,1.30929,1.63485,1.64195,0.009703,0.009703,0.009703
17,1144.85,1.31419,2.03281,1.65186,0.54601,0.46891,0.49855,0.31011,1.2944,1.64255,1.62234,0.0096832,0.0096832,0.0096832
18,1211.24,1.30798,2.01135,1.64598,0.56277,0.50545,0.53173,0.33419,1.27101,1.56465,1.59492,0.0096634,0.0096634,0.0096634
19,1277.64,1.2941,1.97303,1.63001,0.5879,0.5165,0.55024,0.34992,1.25334,1.52154,1.58398,0.0096436,0.0096436,0.0096436
20,1344.11,1.28401,1.95661,1.61954,0.59963,0.51777,0.56105,0.36211,1.23561,1.50826,1.56996,0.0096238,0.0096238,0.0096238
21,1410.45,1.2692,1.88635,1.6056,0.61388,0.52853,0.58024,0.37403,1.2246,1.45629,1.55422,0.009604,0.009604,0.009604
22,1476.79,1.27123,1.89116,1.60356,0.62068,0.53393,0.58021,0.37655,1.22118,1.4325,1.54807,0.0095842,0.0095842,0.0095842
23,1543.11,1.25369,1.87036,1.59081,0.62848,0.53718,0.58903,0.38733,1.21469,1.39899,1.54011,0.0095644,0.0095644,0.0095644
24,1609.45,1.24411,1.8524,1.58752,0.65914,0.52746,0.5994,0.39605,1.19213,1.3922,1.52402,0.0095446,0.0095446,0.0095446
