epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.8094,3.34793,5.08612,4.2362,0.003,0.1683,0.00192,0.00064,3.16698,4.57731,4.32195,0.00332046,0.00332046,0.00332046
2,154.305,3.32785,5.03181,4.14906,0.00272,0.15252,0.00179,0.00056,3.17011,4.31652,4.09522,0.00664062,0.00664062,0.00664062
3,234.885,2.6573,4.5263,3.19998,0.51342,0.04374,0.0083,0.00261,2.37871,4.46865,2.91145,0.00994758,0.00994758,0.00994758
4,313.286,2.05603,3.7461,2.39506,0.26936,0.10315,0.03558,0.01387,2.08477,3.47533,2.47691,0.0099406,0.0099406,0.0099406
5,390.824,1.88349,3.38506,2.18198,0.22493,0.14003,0.07245,0.0312,1.94185,3.07101,2.27679,0.0099208,0.0099208,0.0099208
6,468.042,1.78155,3.17768,2.06791,0.28118,0.17662,0.11538,0.05546,1.86407,2.88143,2.1982,0.009901,0.009901,0.009901
7,545.533,1.72566,3.04106,2.00715,0.32282,0.20638,0.14182,0.07257,1.81715,2.74623,2.09183,0.0098812,0.0098812,0.0098812
8,622.867,1.66844,2.89574,1.94257,0.2711,0.23853,0.17705,0.09575,1.70912,2.56199,2.03584,0.0098614,0.0098614,0.0098614
9,700.547,1.63469,2.77926,1.90519,0.33032,0.27398,0.21463,0.1157,1.68245,2.45662,1.97046,0.0098416,0.0098416,0.0098416
10,778.149,1.5965,2.68474,1.86832,0.32407,0.29473,0.24223,0.13231,1.63695,2.35377,1.92508,0.0098218,0.0098218,0.0098218
11,855.327,1.56054,2.60204,1.83638,0.36889,0.3213,0.27712,0.15483,1.59273,2.25046,1.87823,0.009802,0.009802,0.009802
12,932.479,1.53866,2.5346,1.81275,0.3988,0.3347,0.30419,0.17526,1.54246,2.15234,1.82601,0.0097822,0.0097822,0.0097822
13,1009.86,1.51528,2.46081,1.78857,0.38841,0.35453,0.32078,0.17873,1.53404,2.12478,1.81809,0.0097624,0.0097624,0.0097624
14,1087.01,1.49918,2.42198,1.76791,0.40228,0.37418,0.35293,0.20998,1.48971,2.0298,1.77205,0.0097426,0.0097426,0.0097426
15,1164.11,1.47034,2.366,1.74199,0.43522,0.39172,0.37131,0.22013,1.45167,1.96533,1.74278,0.0097228,0.0097228,0.0097228
16,1241.18,1.44658,2.31954,1.72452,0.46711,0.39536,0.39364,0.23345,1.45403,1.91387,1.73164,0.009703,0.009703,0.009703
17,1318.05,1.4375,2.27143,1.71308,0.47102,0.40849,0.41045,0.2493,1.42153,1.84973,1.7071,0.0096832,0.0096832,0.0096832
18,1395.07,1.42999,2.24493,1.70527,0.4785,0.41803,0.42413,0.25497,1.39981,1.83671,1.68845,0.0096634,0.0096634,0.0096634
19,1472.3,1.41252,2.2137,1.68936,0.51789,0.43429,0.4494,0.27494,1.38001,1.79094,1.66236,0.0096436,0.0096436,0.0096436
20,1549.3,1.40387,2.18531,1.68303,0.50938,0.46058,0.4709,0.29168,1.37173,1.73128,1.65605,0.0096238,0.0096238,0.0096238
21,1626.35,1.37953,2.10976,1.66152,0.53188,0.45231,0.47271,0.29365,1.35422,1.72584,1.63583,0.009604,0.009604,0.009604
22,1703.56,1.37977,2.11086,1.65943,0.56087,0.45363,0.48752,0.30741,1.33789,1.68625,1.6259,0.0095842,0.0095842,0.0095842
23,1780.71,1.36838,2.08569,1.64531,0.56377,0.45944,0.5065,0.31808,1.32896,1.6245,1.61099,0.0095644,0.0095644,0.0095644
24,1857.83,1.34998,2.05693,1.63497,0.55785,0.4902,0.52295,0.33365,1.3074,1.60046,1.59259,0.0095446,0.0095446,0.0095446
25,1934.87,1.34458,2.02924,1.62664,0.58574,0.49142,0.52911,0.34009,1.29305,1.56455,1.56305,0.0095248,0.0095248,0.0095248
26,2011.91,1.33972,2.01641,1.61816,0.56208,0.50834,0.53833,0.34486,1.27951,1.54273,1.55728,0.009505,0.009505,0.009505
27,2088.8,1.33948,1.98218,1.61957,0.60133,0.49579,0.54289,0.35239,1.27543,1.52353,1.55239,0.0094852,0.0094852,0.0094852
28,2165.85,1.32916,1.96655,1.61159,0.60759,0.52098,0.56421,0.3658,1.25981,1.48351,1.53707,0.0094654,0.0094654,0.0094654
29,2242.84,1.31769,1.94524,1.59718,0.60781,0.51545,0.56483,0.36477,1.25212,1.48302,1.53749,0.0094456,0.0094456,0.0094456
30,2319.83,1.30529,1.91158,1.59063,0.63597,0.52295,0.58083,0.38092,1.23803,1.43661,1.51722,0.0094258,0.0094258,0.0094258
31,2396.79,1.30484,1.9084,1.59036,0.63016,0.53369,0.58779,0.38594,1.23427,1.42249,1.51414,0.009406,0.009406,0.009406
32,2473.8,1.29868,1.90505,1.5806,0.66067,0.53464,0.59616,0.39303,1.22457,1.40682,1.50384,0.0093862,0.0093862,0.0093862
33,2550.7,1.29426,1.88153,1.5713,0.63881,0.54308,0.59893,0.39647,1.22045,1.39261,1.50393,0.0093664,0.0093664,0.0093664
34,2627.81,1.29105,1.8606,1.56973,0.65251,0.54674,0.60903,0.4048,1.20833,1.36915,1.48794,0.0093466,0.0093466,0.0093466
35,2704.8,1.27954,1.84989,1.56156,0.6536,0.55035,0.61228,0.40812,1.20642,1.36018,1.48168,0.0093268,0.0093268,0.0093268
36,2781.73,1.27098,1.83376,1.55441,0.65176,0.56034,0.61938,0.4163,1.19492,1.3523,1.47376,0.009307,0.009307,0.009307
37,2858.59,1.28261,1.83195,1.55923,0.65532,0.55882,0.6213,0.41852,1.19026,1.32618,1.46691,0.0092872,0.0092872,0.0092872
38,2935.56,1.26247,1.8089,1.54509,0.66359,0.55785,0.62703,0.42182,1.18485,1.31971,1.46269,0.0092674,0.0092674,0.0092674
39,3012.49,1.26702,1.81439,1.54916,0.64979,0.57595,0.63389,0.42913,1.17634,1.30162,1.45538,0.0092476,0.0092476,0.0092476
40,3089.37,1.25364,1.77709,1.53734,0.67529,0.56687,0.6397,0.43109,1.17329,1.29332,1.44853,0.0092278,0.0092278,0.0092278
41,3166.44,1.24719,1.77928,1.53684,0.66573,0.58271,0.64515,0.43806,1.16962,1.27983,1.44555,0.009208,0.009208,0.009208
42,3243.74,1.24141,1.76061,1.52737,0.67901,0.58584,0.65298,0.44558,1.16309,1.26675,1.43957,0.0091882,0.0091882,0.0091882
43,3321.01,1.2333,1.72938,1.51848,0.68799,0.58718,0.6558,0.44665,1.15982,1.25639,1.43526,0.0091684,0.0091684,0.0091684
44,3398.18,1.23552,1.73544,1.52308,0.69013,0.5874,0.65699,0.44911,1.15282,1.2496,1.42994,0.0091486,0.0091486,0.0091486
45,3475.47,1.23125,1.71905,1.51684,0.69745,0.5884,0.66059,0.45115,1.14953,1.24213,1.42685,0.0091288,0.0091288,0.0091288
46,3552.74,1.23424,1.72431,1.51412,0.69719,0.58839,0.66555,0.45614,1.14357,1.23019,1.41989,0.009109,0.009109,0.009109
