epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.9522,3.32241,5.02583,4.22981,0.00234,0.25603,0.00191,0.00061,3.09048,4.60828,4.51535,0.00332046,0.00332046,0.00332046
2,143.436,3.02161,4.74126,3.75367,0.00178,0.18681,0.00168,0.00047,2.79446,6.23742,3.49963,0.00664062,0.00664062,0.00664062
3,213.653,2.15489,3.96108,2.622,0.07243,0.05153,0.01098,0.00404,2.11597,3.77857,2.69322,0.00994758,0.00994758,0.00994758
4,285.187,1.81374,3.31171,2.19625,0.16067,0.15409,0.07858,0.03623,1.84352,3.48132,2.2664,0.0099406,0.0099406,0.0099406
5,354.788,1.68238,2.97119,2.04061,0.25476,0.26335,0.16177,0.08464,1.6851,2.67946,2.11153,0.0099208,0.0099208,0.0099208
6,423.961,1.59933,2.76321,1.94577,0.25812,0.28216,0.20859,0.111,1.63743,2.41672,2.0379,0.009901,0.009901,0.009901
7,493.32,1.54314,2.62512,1.89019,0.36873,0.2817,0.22498,0.12263,1.58278,2.42272,1.96213,0.0098812,0.0098812,0.0098812
8,562.425,1.4984,2.50791,1.83978,0.36747,0.3446,0.29858,0.16926,1.54248,2.16866,1.92641,0.0098614,0.0098614,0.0098614
9,631.708,1.47417,2.41831,1.81479,0.39696,0.37758,0.33871,0.19531,1.48901,2.08178,1.85068,0.0098416,0.0098416,0.0098416
10,700.945,1.4367,2.34253,1.78057,0.43215,0.40046,0.36387,0.21061,1.454,1.98356,1.816,0.0098218,0.0098218,0.0098218
11,770.027,1.41439,2.27901,1.75947,0.46868,0.41895,0.41246,0.24708,1.41311,1.89761,1.78834,0.009802,0.009802,0.009802
12,838.843,1.39726,2.22596,1.74479,0.47729,0.43093,0.42954,0.26371,1.37106,1.78959,1.73536,0.0097822,0.0097822,0.0097822
13,907.707,1.38133,2.16581,1.72533,0.48496,0.43535,0.42675,0.25539,1.38713,1.81566,1.74266,0.0097624,0.0097624,0.0097624
14,976.531,1.37311,2.14146,1.70972,0.54478,0.4386,0.4721,0.28999,1.34784,1.70251,1.69674,0.0097426,0.0097426,0.0097426
15,1045.29,1.35229,2.08878,1.69264,0.52163,0.45436,0.47577,0.29673,1.33867,1.7063,1.70162,0.0097228,0.0097228,0.0097228
16,1114.07,1.33131,2.05337,1.67234,0.54859,0.48178,0.50919,0.31905,1.30147,1.61765,1.6525,0.009703,0.009703,0.009703
17,1182.92,1.3208,2.01715,1.66246,0.558,0.47797,0.50728,0.31866,1.2928,1.57991,1.63904,0.0096832,0.0096832,0.0096832
18,1251.9,1.31823,1.99115,1.65621,0.56925,0.48956,0.52424,0.33093,1.26804,1.62728,1.61569,0.0096634,0.0096634,0.0096634
19,1320.89,1.29811,1.95934,1.64165,0.57899,0.49138,0.5327,0.33869,1.27919,1.565,1.6312,0.0096436,0.0096436,0.0096436
20,1389.71,1.2957,1.93849,1.63418,0.60552,0.5294,0.56834,0.36739,1.24239,1.46824,1.58322,0.0096238,0.0096238,0.0096238
21,1458.5,1.27463,1.87278,1.61857,0.60666,0.5156,0.57295,0.373,1.22948,1.45764,1.56811,0.009604,0.009604,0.009604
22,1527.26,1.27711,1.87839,1.61205,0.65257,0.52017,0.58592,0.38159,1.21997,1.44344,1.55608,0.0095842,0.0095842,0.0095842
23,1596.06,1.26137,1.85992,1.60077,0.61761,0.54737,0.59373,0.39044,1.21144,1.40744,1.55745,0.0095644,0.0095644,0.0095644
24,1664.88,1.24758,1.84319,1.59572,0.65061,0.53709,0.60365,0.4001,1.18552,1.38844,1.53345,0.0095446,0.0095446,0.0095446
25,1733.61,1.24485,1.81143,1.58661,0.64299,0.55613,0.61124,0.40737,1.18165,1.36951,1.52452,0.0095248,0.0095248,0.0095248
26,1802.31,1.2357,1.79984,1.5829,0.64353,0.57358,0.6231,0.41662,1.171,1.32863,1.51258,0.009505,0.009505,0.009505
27,1871,1.23789,1.77679,1.58073,0.65655,0.56507,0.6276,0.42113,1.16384,1.3224,1.50479,0.0094852,0.0094852,0.0094852
28,1939.71,1.23885,1.77116,1.58035,0.67587,0.57475,0.64357,0.43507,1.15783,1.2869,1.4882,0.0094654,0.0094654,0.0094654
29,2008.45,1.21812,1.74338,1.55187,0.67439,0.57853,0.64479,0.43476,1.15056,1.27431,1.47809,0.0094456,0.0094456,0.0094456
30,2077.06,1.21018,1.72009,1.55084,0.68843,0.57822,0.65408,0.44777,1.13769,1.24708,1.47025,0.0094258,0.0094258,0.0094258
31,2145.96,1.21505,1.71746,1.55607,0.68624,0.60315,0.66519,0.45312,1.13221,1.22912,1.46671,0.009406,0.009406,0.009406
32,2214.63,1.21095,1.73103,1.54885,0.68503,0.59483,0.66417,0.45576,1.12237,1.2311,1.45768,0.0093862,0.0093862,0.0093862
33,2283.29,1.20662,1.69889,1.53644,0.68754,0.6094,0.67353,0.46048,1.11756,1.21524,1.45144,0.0093664,0.0093664,0.0093664
34,2351.89,1.20118,1.68053,1.53849,0.6888,0.60334,0.68084,0.46811,1.10938,1.19581,1.44126,0.0093466,0.0093466,0.0093466
35,2420.51,1.19204,1.66267,1.53114,0.70846,0.60995,0.68591,0.47368,1.10552,1.1789,1.43286,0.0093268,0.0093268,0.0093268
36,2489.13,1.18062,1.65333,1.52328,0.69215,0.62628,0.69009,0.47629,1.09536,1.16902,1.4254,0.009307,0.009307,0.009307
37,2557.78,1.1972,1.65762,1.53071,0.71985,0.61053,0.69355,0.47877,1.09271,1.15829,1.42183,0.0092872,0.0092872,0.0092872
38,2626.36,1.17774,1.63763,1.51535,0.71304,0.61828,0.70132,0.48446,1.08916,1.14049,1.41662,0.0092674,0.0092674,0.0092674
39,2695,1.18147,1.64639,1.51951,0.69993,0.62791,0.69901,0.48558,1.08622,1.13698,1.41324,0.0092476,0.0092476,0.0092476
40,2763.56,1.17135,1.6113,1.51131,0.72323,0.62228,0.70306,0.48955,1.07869,1.12839,1.40747,0.0092278,0.0092278,0.0092278
41,2832.15,1.16178,1.60441,1.50483,0.72395,0.62721,0.71,0.49536,1.07608,1.11546,1.40146,0.009208,0.009208,0.009208
42,2900.81,1.16222,1.59491,1.50043,0.7327,0.63261,0.714,0.49975,1.07075,1.10731,1.39386,0.0091882,0.0091882,0.0091882
43,2969.42,1.15529,1.57739,1.49535,0.73919,0.631,0.7174,0.50192,1.06655,1.09816,1.39014,0.0091684,0.0091684,0.0091684
44,3038,1.15256,1.57262,1.49432,0.74422,0.63499,0.72254,0.50578,1.06414,1.08925,1.38572,0.0091486,0.0091486,0.0091486
45,3106.63,1.1475,1.55613,1.48704,0.74295,0.6356,0.72537,0.5091,1.06201,1.08443,1.38216,0.0091288,0.0091288,0.0091288
46,3175.24,1.15274,1.55453,1.48869,0.74042,0.63826,0.72568,0.51056,1.05851,1.07911,1.38097,0.009109,0.009109,0.009109
47,3243.79,1.14901,1.54605,1.48498,0.75461,0.63679,0.72864,0.51367,1.05404,1.07221,1.37698,0.0090892,0.0090892,0.0090892
48,3312.51,1.14834,1.54957,1.48317,0.7437,0.64487,0.73071,0.51528,1.05189,1.06793,1.37436,0.0090694,0.0090694,0.0090694
49,3381.06,1.14895,1.54785,1.48237,0.74214,0.65508,0.73441,0.51774,1.04934,1.05744,1.37092,0.0090496,0.0090496,0.0090496
50,3449.63,1.14613,1.53313,1.47523,0.74354,0.65535,0.73736,0.52045,1.04668,1.05099,1.36688,0.0090298,0.0090298,0.0090298
51,3518.2,1.14312,1.52422,1.47354,0.75828,0.64469,0.73825,0.52316,1.0432,1.04438,1.36298,0.00901,0.00901,0.00901
52,3586.81,1.1379,1.51619,1.47169,0.74915,0.65686,0.74068,0.52457,1.0405,1.0395,1.36041,0.0089902,0.0089902,0.0089902
53,3655.38,1.13528,1.52083,1.47228,0.75158,0.66185,0.74335,0.52672,1.0383,1.0346,1.3582,0.0089704,0.0089704,0.0089704
54,3723.93,1.12969,1.50093,1.46043,0.75038,0.66791,0.74557,0.52865,1.03621,1.03137,1.35618,0.0089506,0.0089506,0.0089506
55,3792.49,1.12002,1.48745,1.45828,0.75246,0.66607,0.74701,0.53053,1.03477,1.02818,1.3537,0.0089308,0.0089308,0.0089308
56,3861.05,1.13403,1.50351,1.46423,0.75295,0.66599,0.74754,0.53121,1.03402,1.02543,1.35228,0.008911,0.008911,0.008911
57,3929.59,1.13076,1.48478,1.46245,0.75849,0.66481,0.74892,0.53325,1.03139,1.02174,1.34906,0.0088912,0.0088912,0.0088912
58,3998.13,1.12362,1.47848,1.45616,0.76397,0.66196,0.75082,0.53503,1.03005,1.01813,1.34724,0.0088714,0.0088714,0.0088714
59,4066.72,1.11854,1.4734,1.45415,0.76433,0.66439,0.75205,0.53635,1.02831,1.01546,1.34568,0.0088516,0.0088516,0.0088516
60,4135.24,1.11833,1.47018,1.45508,0.76187,0.66596,0.75329,0.53761,1.02666,1.01186,1.34401,0.0088318,0.0088318,0.0088318
61,4203.9,1.12089,1.46598,1.45682,0.7659,0.66458,0.75487,0.53952,1.02503,1.00831,1.34249,0.008812,0.008812,0.008812
62,4272.44,1.1054,1.45413,1.44607,0.7703,0.66296,0.75596,0.54034,1.02357,1.00545,1.34048,0.0087922,0.0087922,0.0087922
63,4341.01,1.10725,1.45151,1.44146,0.77276,0.66215,0.75709,0.54184,1.02265,1.00269,1.33895,0.0087724,0.0087724,0.0087724
64,4409.57,1.11553,1.46246,1.44672,0.7672,0.66762,0.75799,0.54221,1.02123,0.99987,1.33711,0.0087526,0.0087526,0.0087526
65,4478.13,1.09946,1.42796,1.43544,0.76718,0.66839,0.75869,0.54363,1.01946,0.99776,1.33529,0.0087328,0.0087328,0.0087328
66,4546.62,1.09179,1.43444,1.42955,0.76456,0.66976,0.75955,0.54488,1.01796,0.99496,1.33339,0.008713,0.008713,0.008713
67,4615.36,1.10441,1.43138,1.43992,0.76855,0.67051,0.76028,0.54561,1.01669,0.99268,1.33212,0.0086932,0.0086932,0.0086932
68,4683.94,1.10206,1.41396,1.43474,0.77126,0.66939,0.7609,0.54632,1.01547,0.99052,1.33077,0.0086734,0.0086734,0.0086734
69,4752.55,1.10491,1.41245,1.43527,0.77282,0.67279,0.76201,0.54746,1.01436,0.98816,1.32971,0.0086536,0.0086536,0.0086536
70,4821.08,1.10163,1.41232,1.43245,0.77532,0.67203,0.76318,0.54825,1.01318,0.9859,1.32839,0.0086338,0.0086338,0.0086338
71,4889.63,1.10839,1.41929,1.43318,0.77258,0.67442,0.764,0.54912,1.01174,0.98412,1.32653,0.008614,0.008614,0.008614
72,4958.2,1.09561,1.40719,1.42684,0.76963,0.67639,0.76454,0.55004,1.01066,0.98265,1.32545,0.0085942,0.0085942,0.0085942
73,5026.73,1.08434,1.40051,1.41957,0.7681,0.67726,0.76531,0.55051,1.00969,0.98063,1.32407,0.0085744,0.0085744,0.0085744
74,5095.2,1.09291,1.39442,1.42134,0.76837,0.68098,0.76618,0.55095,1.00894,0.97855,1.32299,0.0085546,0.0085546,0.0085546
75,5163.72,1.09031,1.38798,1.42095,0.76638,0.68516,0.76682,0.55135,1.00784,0.97729,1.32167,0.0085348,0.0085348,0.0085348
76,5232.25,1.08254,1.39595,1.4172,0.76821,0.68327,0.76763,0.55225,1.00731,0.97533,1.32076,0.008515,0.008515,0.008515
77,5300.79,1.08494,1.38274,1.41803,0.76933,0.68207,0.76795,0.55312,1.00678,0.97356,1.31994,0.0084952,0.0084952,0.0084952
78,5369.38,1.09114,1.37693,1.42192,0.77102,0.68314,0.7687,0.55379,1.00593,0.97196,1.31905,0.0084754,0.0084754,0.0084754
79,5437.92,1.07765,1.37076,1.41214,0.76903,0.68482,0.76906,0.55467,1.00489,0.9706,1.31788,0.0084556,0.0084556,0.0084556
80,5506.45,1.08251,1.37956,1.41439,0.77191,0.68586,0.76955,0.5547,1.00465,0.96899,1.31729,0.0084358,0.0084358,0.0084358
81,5575.02,1.07515,1.36012,1.40775,0.76807,0.6878,0.77,0.55523,1.00415,0.96762,1.31659,0.008416,0.008416,0.008416
82,5643.81,1.08482,1.37034,1.41211,0.76748,0.68896,0.77049,0.55562,1.0035,0.96639,1.31566,0.0083962,0.0083962,0.0083962
83,5712.31,1.07844,1.35662,1.40554,0.76785,0.69058,0.77101,0.55617,1.00315,0.96521,1.31515,0.0083764,0.0083764,0.0083764
84,5780.82,1.07261,1.35848,1.40524,0.76701,0.69247,0.77141,0.55688,1.00264,0.96344,1.31426,0.0083566,0.0083566,0.0083566
85,5849.36,1.07267,1.3549,1.40044,0.76927,0.69128,0.77186,0.55749,1.00196,0.96209,1.31334,0.0083368,0.0083368,0.0083368
86,5917.88,1.07386,1.35533,1.40762,0.77128,0.69124,0.77256,0.55821,1.00133,0.96033,1.31244,0.008317,0.008317,0.008317
87,5986.42,1.07134,1.34397,1.40205,0.77368,0.69062,0.77307,0.55877,1.0007,0.95889,1.3115,0.0082972,0.0082972,0.0082972
88,6054.94,1.07846,1.35441,1.40057,0.77562,0.68998,0.77328,0.559,1.00011,0.95767,1.3106,0.0082774,0.0082774,0.0082774
89,6123.43,1.06573,1.3294,1.39854,0.7782,0.68901,0.77404,0.55997,0.99949,0.95623,1.30972,0.0082576,0.0082576,0.0082576
90,6191.94,1.07369,1.33272,1.40065,0.7789,0.68776,0.77436,0.56058,0.99906,0.95447,1.30911,0.0082378,0.0082378,0.0082378
91,6260.45,1.0664,1.33461,1.39243,0.78012,0.68782,0.77508,0.56139,0.9987,0.953,1.30849,0.008218,0.008218,0.008218
92,6328.96,1.06065,1.31903,1.3854,0.77993,0.68764,0.77558,0.56168,0.99832,0.95167,1.30792,0.0081982,0.0081982,0.0081982
93,6397.46,1.06054,1.32233,1.38662,0.78039,0.68738,0.77595,0.56227,0.99767,0.95029,1.30717,0.0081784,0.0081784,0.0081784
94,6465.98,1.06162,1.30432,1.38782,0.77887,0.68885,0.77628,0.56292,0.99709,0.9488,1.30631,0.0081586,0.0081586,0.0081586
