epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.8924,3.31812,4.99273,4.20987,0.00304,0.12998,0.00205,0.00063,3.10007,4.21239,4.06299,0.00332046,0.00332046,0.00332046
2,136.639,2.84782,4.57637,3.50227,0.50711,0.02976,0.00483,0.00144,2.49673,4.90588,3.13649,0.00664062,0.00664062,0.00664062
3,204.083,2.05062,3.79392,2.50029,0.1483,0.10434,0.03408,0.01367,1.98222,3.678,2.51475,0.00994758,0.00994758,0.00994758
4,271.408,1.75736,3.19429,2.13447,0.1915,0.1829,0.08934,0.04299,1.75374,3.08069,2.22209,0.0099406,0.0099406,0.0099406
5,337.999,1.63751,2.88704,1.99841,0.26277,0.28861,0.17961,0.09469,1.64839,2.65438,2.05962,0.0099208,0.0099208,0.0099208
6,404.345,1.56624,2.70796,1.90538,0.33339,0.26545,0.21741,0.12029,1.60277,2.41801,1.97181,0.009901,0.009901,0.009901
7,470.75,1.52147,2.58711,1.86121,0.31381,0.31679,0.25893,0.14537,1.55087,2.32145,1.90621,0.0098812,0.0098812,0.0098812
8,536.746,1.47853,2.47971,1.80935,0.39397,0.36064,0.32811,0.18835,1.49296,2.08962,1.85485,0.0098614,0.0098614,0.0098614
9,603.108,1.46353,2.39548,1.7964,0.39008,0.37101,0.335,0.18829,1.51178,2.08174,1.83201,0.0098416,0.0098416,0.0098416
10,669.217,1.4237,2.31837,1.75718,0.4213,0.38506,0.3683,0.21688,1.43563,1.95993,1.78141,0.0098218,0.0098218,0.0098218
11,735.269,1.40308,2.2649,1.74342,0.46316,0.42251,0.40269,0.24206,1.41584,1.92029,1.77892,0.009802,0.009802,0.009802
12,801.201,1.38856,2.21007,1.72805,0.49677,0.42982,0.44291,0.27042,1.37686,1.77535,1.72053,0.0097822,0.0097822,0.0097822
13,867.283,1.37132,2.1561,1.70662,0.49753,0.42537,0.4377,0.26125,1.38217,1.83599,1.72465,0.0097624,0.0097624,0.0097624
14,933.169,1.36136,2.12261,1.68773,0.50193,0.4229,0.44416,0.26436,1.39776,1.77011,1.70855,0.0097426,0.0097426,0.0097426
15,999.055,1.34456,2.08309,1.67899,0.51929,0.48694,0.49433,0.30369,1.33672,1.66423,1.68783,0.0097228,0.0097228,0.0097228
16,1064.82,1.32407,2.04521,1.66044,0.54371,0.47848,0.49846,0.31153,1.32127,1.63971,1.65555,0.009703,0.009703,0.009703
17,1130.67,1.32116,2.00764,1.65333,0.54587,0.47591,0.51528,0.32318,1.30443,1.62694,1.64572,0.0096832,0.0096832,0.0096832
18,1196.65,1.31403,1.99381,1.64142,0.57953,0.47195,0.52216,0.33025,1.28006,1.60517,1.61188,0.0096634,0.0096634,0.0096634
19,1262.75,1.2997,1.95887,1.63089,0.57459,0.51268,0.54478,0.34623,1.26919,1.54589,1.59773,0.0096436,0.0096436,0.0096436
20,1328.59,1.2955,1.94231,1.62611,0.61582,0.51771,0.56836,0.36566,1.25254,1.48659,1.58453,0.0096238,0.0096238,0.0096238
21,1394.39,1.27545,1.87632,1.61106,0.6052,0.53189,0.57534,0.37013,1.24648,1.47249,1.57468,0.009604,0.009604,0.009604
22,1460.28,1.27592,1.88458,1.60628,0.62671,0.54737,0.59314,0.38397,1.2243,1.43661,1.54684,0.0095842,0.0095842,0.0095842
23,1526.13,1.26542,1.86271,1.59624,0.62801,0.55379,0.60532,0.39709,1.20994,1.39799,1.54155,0.0095644,0.0095644,0.0095644
24,1591.85,1.24975,1.85166,1.59117,0.65013,0.54115,0.60935,0.40193,1.19943,1.3727,1.5314,0.0095446,0.0095446,0.0095446
25,1657.63,1.24838,1.81836,1.58248,0.64255,0.56365,0.61509,0.40789,1.19924,1.36294,1.52144,0.0095248,0.0095248,0.0095248
26,1723.36,1.23791,1.80148,1.57232,0.66067,0.5514,0.62617,0.42004,1.18097,1.32871,1.50865,0.009505,0.009505,0.009505
27,1789.13,1.24313,1.77793,1.57556,0.65384,0.57036,0.63441,0.42372,1.17877,1.32183,1.505,0.0094852,0.0094852,0.0094852
28,1854.95,1.23991,1.77001,1.57234,0.6806,0.58277,0.65074,0.43661,1.17041,1.27897,1.49235,0.0094654,0.0094654,0.0094654
29,1920.68,1.22497,1.74582,1.55371,0.6809,0.58117,0.65045,0.4352,1.15819,1.26813,1.47886,0.0094456,0.0094456,0.0094456
30,1986.37,1.21223,1.71829,1.54848,0.6984,0.57474,0.65804,0.44424,1.14812,1.26418,1.46997,0.0094258,0.0094258,0.0094258
31,2052.11,1.21663,1.71523,1.54704,0.67799,0.59638,0.6616,0.4469,1.14424,1.24008,1.46053,0.009406,0.009406,0.009406
32,2117.83,1.21294,1.72338,1.54684,0.68474,0.60165,0.66871,0.45273,1.13767,1.23563,1.45884,0.0093862,0.0093862,0.0093862
33,2183.53,1.21303,1.70182,1.53696,0.67925,0.61545,0.67722,0.45976,1.13266,1.21282,1.45355,0.0093664,0.0093664,0.0093664
34,2249.26,1.20499,1.68264,1.53742,0.67435,0.61286,0.68148,0.46671,1.12388,1.19725,1.44718,0.0093466,0.0093466,0.0093466
35,2314.94,1.19926,1.66803,1.53075,0.68266,0.6228,0.68713,0.47248,1.11962,1.18941,1.43582,0.0093268,0.0093268,0.0093268
36,2380.61,1.18708,1.65579,1.52148,0.70351,0.61428,0.69082,0.47537,1.10899,1.17125,1.42669,0.009307,0.009307,0.009307
37,2446.36,1.20198,1.65807,1.52714,0.69031,0.63092,0.69608,0.4812,1.1025,1.1554,1.42162,0.0092872,0.0092872,0.0092872
38,2512.09,1.18255,1.63616,1.51532,0.72567,0.61967,0.70419,0.48697,1.09922,1.14783,1.41941,0.0092674,0.0092674,0.0092674
39,2577.73,1.1871,1.64315,1.51682,0.70259,0.63105,0.70511,0.48833,1.09422,1.13552,1.41142,0.0092476,0.0092476,0.0092476
40,2643.46,1.17682,1.61519,1.51123,0.71464,0.63238,0.70873,0.49096,1.08832,1.13078,1.40663,0.0092278,0.0092278,0.0092278
41,2709.11,1.16876,1.60942,1.50664,0.72327,0.63303,0.71308,0.49255,1.08738,1.1225,1.40514,0.009208,0.009208,0.009208
42,2774.97,1.1691,1.59091,1.50221,0.71451,0.64625,0.71729,0.49713,1.08189,1.11492,1.39894,0.0091882,0.0091882,0.0091882
43,2840.6,1.15497,1.57346,1.49292,0.7296,0.63848,0.7198,0.50017,1.07736,1.10507,1.39394,0.0091684,0.0091684,0.0091684
44,2906.26,1.16063,1.5771,1.49739,0.73121,0.63793,0.72075,0.50214,1.07057,1.10058,1.38733,0.0091486,0.0091486,0.0091486
45,2971.86,1.15444,1.56605,1.48885,0.72471,0.64508,0.72324,0.50457,1.06956,1.09421,1.38289,0.0091288,0.0091288,0.0091288
46,3037.49,1.15684,1.56174,1.48623,0.7374,0.64287,0.72877,0.50892,1.06496,1.084,1.3809,0.009109,0.009109,0.009109
47,3103.14,1.14876,1.54833,1.48188,0.73499,0.64847,0.7309,0.51031,1.06,1.07736,1.37829,0.0090892,0.0090892,0.0090892
48,3168.79,1.15167,1.54961,1.48155,0.72896,0.65892,0.73299,0.51293,1.05851,1.0726,1.37556,0.0090694,0.0090694,0.0090694
49,3234.37,1.15397,1.55567,1.4801,0.74088,0.65355,0.73593,0.51558,1.05663,1.06921,1.37416,0.0090496,0.0090496,0.0090496
50,3299.98,1.15095,1.53108,1.47696,0.72948,0.66315,0.73866,0.51711,1.05369,1.06473,1.37061,0.0090298,0.0090298,0.0090298
51,3365.48,1.14987,1.52605,1.4751,0.7357,0.66022,0.73999,0.51863,1.05053,1.05963,1.36688,0.00901,0.00901,0.00901
52,3431.07,1.14107,1.51281,1.47193,0.74767,0.65735,0.74102,0.52016,1.04839,1.05502,1.3646,0.0089902,0.0089902,0.0089902
53,3496.65,1.13918,1.52025,1.47059,0.75041,0.66106,0.74399,0.52131,1.04804,1.04941,1.36365,0.0089704,0.0089704,0.0089704
