epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.829,3.22339,4.88311,4.06085,0.00266,0.22616,0.0023,0.00063,2.85197,4.02568,3.80132,0.00332046,0.00332046,0.00332046
2,196.017,2.60542,4.43947,3.17747,0.26625,0.02509,0.00786,0.00227,2.40104,3.99568,3.00043,0.00664062,0.00664062,0.00664062
3,294.233,2.06044,3.75639,2.4852,0.14615,0.09487,0.0236,0.00802,2.10469,3.83874,2.61102,0.00994758,0.00994758,0.00994758
4,391.323,1.80488,3.22516,2.16579,0.17405,0.19846,0.09592,0.04487,1.81233,3.05879,2.24542,0.0099406,0.0099406,0.0099406
5,487.524,1.67561,2.92246,2.01937,0.25249,0.22471,0.16114,0.08088,1.73698,2.66048,2.18079,0.0099208,0.0099208,0.0099208
6,583.602,1.59206,2.73398,1.92756,0.29819,0.28994,0.21702,0.11648,1.61653,2.39176,1.99355,0.009901,0.009901,0.009901
7,679.594,1.53984,2.61198,1.87628,0.3312,0.32569,0.26849,0.1503,1.55027,2.23287,1.92274,0.0098812,0.0098812,0.0098812
8,775.447,1.49084,2.48672,1.81984,0.34298,0.34094,0.27944,0.15874,1.51646,2.19135,1.88326,0.0098614,0.0098614,0.0098614
9,871.467,1.47506,2.40481,1.79739,0.39026,0.36694,0.33539,0.19278,1.4861,2.05668,1.82479,0.0098416,0.0098416,0.0098416
10,967.344,1.43756,2.32721,1.76072,0.4009,0.39376,0.35184,0.2029,1.46742,1.99487,1.78886,0.0098218,0.0098218,0.0098218
11,1063.04,1.41638,2.27402,1.74369,0.46356,0.40552,0.39621,0.23619,1.42107,1.91676,1.77221,0.009802,0.009802,0.009802
12,1158.67,1.40272,2.22962,1.72984,0.4751,0.43632,0.43025,0.25761,1.3918,1.81783,1.72963,0.0097822,0.0097822,0.0097822
13,1254.47,1.38248,2.17206,1.71263,0.49138,0.4363,0.43409,0.25539,1.39807,1.82559,1.73402,0.0097624,0.0097624,0.0097624
14,1350,1.37487,2.12693,1.69377,0.50006,0.46296,0.46757,0.28343,1.36414,1.71377,1.68709,0.0097426,0.0097426,0.0097426
15,1445.5,1.3563,2.08822,1.67843,0.52456,0.45777,0.47876,0.29577,1.34877,1.69606,1.68279,0.0097228,0.0097228,0.0097228
16,1541.18,1.33626,2.05419,1.66226,0.5318,0.47067,0.4835,0.29911,1.32893,1.67797,1.6631,0.009703,0.009703,0.009703
17,1636.86,1.3307,2.01377,1.65283,0.57015,0.474,0.51417,0.32337,1.29408,1.59548,1.62193,0.0096832,0.0096832,0.0096832
18,1732.53,1.3204,1.99886,1.6448,0.55496,0.49829,0.52708,0.3323,1.28621,1.57507,1.61155,0.0096634,0.0096634,0.0096634
