epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.606,3.34552,5.07556,4.23201,0.00359,0.06917,0.00219,0.00077,3.18251,4.54703,4.26941,0.00332046,0.00332046,0.00332046
2,243.557,3.34573,5.05059,4.18994,0.00185,0.06104,0.00113,0.00031,3.31797,inf,7.1049,0.00664062,0.00664062,0.00664062
3,363.679,2.80965,4.60015,3.3709,0.65926,0.02251,0.00743,0.00226,2.42325,6.87294,2.98449,0.00994758,0.00994758,0.00994758
4,470.113,2.07752,3.81387,2.45359,0.19243,0.08383,0.0189,0.00719,2.20129,3.80133,2.72747,0.0099406,0.0099406,0.0099406
5,576.669,1.89392,3.45618,2.22794,0.13272,0.08656,0.03419,0.01489,2.29713,3.86258,2.7767,0.0099208,0.0099208,0.0099208
6,683.136,1.79965,3.25301,2.11789,0.22919,0.08777,0.05512,0.02493,2.07814,3.40293,2.47185,0.009901,0.009901,0.009901
7,789.887,1.73852,3.10012,2.05031,0.31811,0.20225,0.12871,0.06237,1.81326,2.83212,2.16082,0.0098812,0.0098812,0.0098812
8,896.455,1.68421,2.96626,1.98639,0.2838,0.22966,0.15849,0.0812,1.7693,2.64796,2.09855,0.0098614,0.0098614,0.0098614
9,1002.93,1.65459,2.85116,1.95467,0.28756,0.26623,0.19953,0.10567,1.70957,2.52001,2.05182,0.0098416,0.0098416,0.0098416
10,1109.7,1.61486,2.7514,1.91664,0.25331,0.21947,0.16323,0.08643,1.81865,2.71637,2.12502,0.0098218,0.0098218,0.0098218
11,1215.87,1.57681,2.67256,1.88101,0.39279,0.31379,0.28252,0.15453,1.63152,2.29368,1.95119,0.009802,0.009802,0.009802
12,1321.99,1.55609,2.60708,1.85458,0.37089,0.32529,0.29033,0.16554,1.5793,2.23814,1.90309,0.0097822,0.0097822,0.0097822
13,1428.5,1.52972,2.52312,1.82503,0.34429,0.32536,0.28073,0.15324,1.60089,2.28622,1.90059,0.0097624,0.0097624,0.0097624
14,1534.58,1.51469,2.48736,1.80594,0.40606,0.35542,0.33255,0.19194,1.51532,2.0907,1.8381,0.0097426,0.0097426,0.0097426
15,1640.71,1.49437,2.42157,1.78362,0.45118,0.35397,0.34894,0.20207,1.51052,2.06701,1.82442,0.0097228,0.0097228,0.0097228
16,1746.82,1.46856,2.37461,1.76204,0.45079,0.3805,0.37471,0.21991,1.47099,1.98886,1.78688,0.009703,0.009703,0.009703
17,1852.91,1.44985,2.31892,1.74796,0.44912,0.38034,0.38136,0.22822,1.4734,1.96059,1.79095,0.0096832,0.0096832,0.0096832
18,1959.08,1.44478,2.29718,1.73853,0.47783,0.39736,0.40167,0.24113,1.42474,1.88995,1.73791,0.0096634,0.0096634,0.0096634
19,2065.35,1.42663,2.25425,1.72483,0.49201,0.41796,0.42661,0.26117,1.3946,1.84679,1.71556,0.0096436,0.0096436,0.0096436
20,2171.49,1.41511,2.2174,1.70726,0.5387,0.42781,0.45671,0.28437,1.37562,1.79382,1.68806,0.0096238,0.0096238,0.0096238
21,2277.69,1.38844,2.14638,1.6925,0.54443,0.44515,0.47483,0.29399,1.36045,1.7539,1.67168,0.009604,0.009604,0.009604
22,2383.91,1.38727,2.13598,1.68285,0.56624,0.45139,0.48645,0.3025,1.34603,1.70253,1.65782,0.0095842,0.0095842,0.0095842
23,2490.07,1.37288,2.11448,1.6704,0.56469,0.47122,0.50123,0.314,1.33519,1.66245,1.64333,0.0095644,0.0095644,0.0095644
24,2596.45,1.35738,2.08356,1.66019,0.58869,0.47934,0.51605,0.32836,1.30647,1.63225,1.61934,0.0095446,0.0095446,0.0095446
25,2702.9,1.34986,2.05113,1.649,0.55172,0.5012,0.5222,0.33447,1.29547,1.59889,1.59288,0.0095248,0.0095248,0.0095248
26,2809.52,1.33998,2.03089,1.63967,0.58811,0.49551,0.53301,0.33654,1.29276,1.56495,1.5983,0.009505,0.009505,0.009505
27,2916.23,1.34537,1.99496,1.6418,0.59007,0.50148,0.54503,0.35037,1.28043,1.53707,1.58232,0.0094852,0.0094852,0.0094852
28,3022.75,1.33398,1.98762,1.63223,0.60094,0.52015,0.56536,0.36424,1.26176,1.48734,1.5605,0.0094654,0.0094654,0.0094654
29,3129.39,1.31614,1.9517,1.61235,0.6138,0.52669,0.57001,0.36955,1.25175,1.47748,1.55513,0.0094456,0.0094456,0.0094456
30,3236.03,1.30094,1.92569,1.60839,0.6127,0.53091,0.58119,0.38212,1.23697,1.44787,1.54444,0.0094258,0.0094258,0.0094258
31,3342.73,1.30107,1.91529,1.60261,0.62902,0.53793,0.58939,0.3882,1.23093,1.42925,1.53373,0.009406,0.009406,0.009406
32,3450.01,1.29982,1.91654,1.60005,0.64559,0.54108,0.5991,0.39595,1.21401,1.41026,1.51928,0.0093862,0.0093862,0.0093862
33,3557.15,1.29243,1.88707,1.58419,0.6521,0.54257,0.59916,0.39701,1.21195,1.39559,1.51501,0.0093664,0.0093664,0.0093664
34,3664.24,1.28854,1.86743,1.58784,0.6383,0.55783,0.61303,0.40638,1.20669,1.37652,1.50846,0.0093466,0.0093466,0.0093466
35,3771.27,1.27967,1.85519,1.57928,0.64987,0.55757,0.61959,0.41253,1.19819,1.36458,1.49859,0.0093268,0.0093268,0.0093268
36,3878.38,1.2715,1.83422,1.56653,0.64745,0.56486,0.62171,0.41558,1.19171,1.34113,1.48976,0.009307,0.009307,0.009307
37,3985.48,1.27801,1.8332,1.57229,0.67349,0.56048,0.62944,0.42091,1.18732,1.32419,1.48363,0.0092872,0.0092872,0.0092872
38,4092.83,1.25689,1.81038,1.55507,0.67139,0.56959,0.63591,0.42707,1.17518,1.31437,1.47394,0.0092674,0.0092674,0.0092674
39,4200.17,1.26377,1.81207,1.56161,0.66395,0.57591,0.63892,0.43129,1.16968,1.30072,1.47036,0.0092476,0.0092476,0.0092476
40,4307.65,1.24845,1.77928,1.55055,0.68021,0.57328,0.64387,0.43479,1.16278,1.29088,1.46478,0.0092278,0.0092278,0.0092278
41,4415.2,1.24327,1.77359,1.54561,0.68426,0.57744,0.65164,0.44187,1.15761,1.27067,1.4566,0.009208,0.009208,0.009208
42,4522.69,1.24117,1.75542,1.54204,0.69036,0.58034,0.6558,0.44611,1.15263,1.26258,1.45157,0.0091882,0.0091882,0.0091882
43,4630.12,1.22686,1.73003,1.53157,0.69019,0.59057,0.65903,0.44925,1.14892,1.2518,1.44793,0.0091684,0.0091684,0.0091684
44,107.942,1.21343,1.71169,1.52575,0.70944,0.5863,0.66369,0.45357,1.14299,1.24046,1.44256,0.0091486,0.0091486,0.0091486
45,215.379,1.23295,1.73409,1.53445,0.70051,0.59621,0.66679,0.45587,1.13974,1.23552,1.43855,0.0091288,0.0091288,0.0091288
46,323.628,1.23251,1.73098,1.52953,0.70615,0.59375,0.66955,0.45677,1.13585,1.22973,1.43377,0.009109,0.009109,0.009109
47,431.952,1.22748,1.71626,1.5237,0.70603,0.5953,0.67294,0.45967,1.13147,1.22484,1.42912,0.0090892,0.0090892,0.0090892
48,540.401,1.224,1.70155,1.52452,0.71038,0.59424,0.67477,0.46137,1.13074,1.22016,1.42817,0.0090694,0.0090694,0.0090694
49,648.706,1.22366,1.68969,1.52089,0.70824,0.59747,0.67769,0.46337,1.12785,1.21274,1.42604,0.0090496,0.0090496,0.0090496
50,756.942,1.22332,1.69984,1.52201,0.7157,0.60063,0.67992,0.46636,1.1224,1.20607,1.41978,0.0090298,0.0090298,0.0090298
51,865.167,1.21763,1.68057,1.51167,0.70989,0.61309,0.68341,0.47037,1.11623,1.19655,1.41359,0.00901,0.00901,0.00901
52,973.486,1.20816,1.66604,1.50313,0.71814,0.60919,0.68636,0.47357,1.11315,1.18863,1.41015,0.0089902,0.0089902,0.0089902
53,1081.83,1.20534,1.66393,1.50437,0.71653,0.61385,0.68933,0.47692,1.1109,1.18177,1.40775,0.0089704,0.0089704,0.0089704
54,1190.05,1.19286,1.64011,1.49437,0.72468,0.60918,0.69131,0.47931,1.10933,1.17431,1.40439,0.0089506,0.0089506,0.0089506
55,1298.19,1.19847,1.64689,1.50002,0.72499,0.61546,0.69396,0.4811,1.10682,1.16828,1.40134,0.0089308,0.0089308,0.0089308
56,1406.52,1.19067,1.63484,1.49137,0.72565,0.62092,0.6959,0.48204,1.10485,1.16233,1.39913,0.008911,0.008911,0.008911
57,1514.84,1.19338,1.62621,1.49236,0.72788,0.6184,0.69833,0.4837,1.10142,1.15913,1.39499,0.0088912,0.0088912,0.0088912
58,1623.15,1.19118,1.61228,1.48717,0.71868,0.62323,0.69997,0.48533,1.09858,1.15531,1.3923,0.0088714,0.0088714,0.0088714
59,1731.53,1.18265,1.61408,1.48463,0.70864,0.63188,0.70165,0.4872,1.09546,1.15082,1.38976,0.0088516,0.0088516,0.0088516
60,1839.83,1.18644,1.59891,1.4829,0.72119,0.62748,0.704,0.48907,1.09222,1.14595,1.38695,0.0088318,0.0088318,0.0088318
61,1948.09,1.1764,1.59811,1.47593,0.72921,0.62289,0.70553,0.49028,1.09029,1.14125,1.38457,0.008812,0.008812,0.008812
62,2056.4,1.16006,1.58539,1.4641,0.74112,0.61718,0.70711,0.49164,1.08874,1.1373,1.38287,0.0087922,0.0087922,0.0087922
63,2164.77,1.16827,1.57403,1.46637,0.74002,0.62204,0.70887,0.49357,1.08636,1.13411,1.38027,0.0087724,0.0087724,0.0087724
64,2273.1,1.17017,1.57963,1.46717,0.74564,0.62056,0.71037,0.49612,1.08472,1.1303,1.37817,0.0087526,0.0087526,0.0087526
65,2381.45,1.16203,1.54678,1.46287,0.73715,0.62733,0.71181,0.49696,1.08326,1.12682,1.37653,0.0087328,0.0087328,0.0087328
66,2489.8,1.1649,1.56035,1.46303,0.74159,0.62634,0.71261,0.49774,1.08173,1.12334,1.37456,0.008713,0.008713,0.008713
67,2598.18,1.15825,1.54381,1.45944,0.7369,0.62993,0.7139,0.49941,1.07996,1.12057,1.37284,0.0086932,0.0086932,0.0086932
68,2706.51,1.15083,1.54372,1.45251,0.72968,0.63645,0.71438,0.50048,1.07868,1.11768,1.37122,0.0086734,0.0086734,0.0086734
69,2814.82,1.16126,1.54615,1.46049,0.72736,0.63794,0.71504,0.50118,1.07717,1.11424,1.36953,0.0086536,0.0086536,0.0086536
70,2923.19,1.15464,1.52444,1.45175,0.72436,0.64225,0.71601,0.50209,1.07602,1.11191,1.36834,0.0086338,0.0086338,0.0086338
71,3031.48,1.16421,1.53922,1.45619,0.72741,0.64394,0.71721,0.50304,1.07499,1.10905,1.36719,0.008614,0.008614,0.008614
72,3140.07,1.15559,1.53472,1.4506,0.72436,0.64444,0.71784,0.50336,1.07378,1.1063,1.36573,0.0085942,0.0085942,0.0085942
73,3248.38,1.13839,1.50326,1.43989,0.72446,0.64834,0.71934,0.5049,1.07247,1.1035,1.36404,0.0085744,0.0085744,0.0085744
74,3356.65,1.14525,1.51385,1.44504,0.72373,0.65046,0.7203,0.50577,1.07174,1.10046,1.3631,0.0085546,0.0085546,0.0085546
75,3464.95,1.14014,1.49579,1.44095,0.72902,0.64707,0.7212,0.50684,1.07073,1.09823,1.3618,0.0085348,0.0085348,0.0085348
76,3573.27,1.1338,1.50394,1.43258,0.73111,0.64833,0.72214,0.50741,1.06987,1.09584,1.36063,0.008515,0.008515,0.008515
77,3681.52,1.1338,1.48296,1.43587,0.73195,0.6491,0.72275,0.50827,1.06876,1.09334,1.35948,0.0084952,0.0084952,0.0084952
78,3790.01,1.13934,1.4887,1.43839,0.72538,0.65359,0.72358,0.50871,1.06796,1.0911,1.35834,0.0084754,0.0084754,0.0084754
79,3898.22,1.13475,1.47332,1.4323,0.72381,0.65628,0.72454,0.50948,1.06677,1.08901,1.35691,0.0084556,0.0084556,0.0084556
80,4006.41,1.13512,1.48262,1.43319,0.72545,0.65544,0.72544,0.51027,1.06613,1.08685,1.35594,0.0084358,0.0084358,0.0084358
81,4114.58,1.12712,1.47049,1.42756,0.72503,0.65811,0.72605,0.51119,1.06541,1.08508,1.35497,0.008416,0.008416,0.008416
82,4222.79,1.13183,1.47451,1.42651,0.73007,0.65209,0.72662,0.51203,1.06472,1.08339,1.3541,0.0083962,0.0083962,0.0083962
83,4330.95,1.12593,1.45932,1.41955,0.73499,0.65088,0.72728,0.51255,1.06373,1.08128,1.35295,0.0083764,0.0083764,0.0083764
84,4439.22,1.11906,1.45679,1.41849,0.73661,0.65156,0.72836,0.51348,1.06268,1.07911,1.35172,0.0083566,0.0083566,0.0083566
85,4547.46,1.1221,1.44946,1.4186,0.73094,0.65743,0.72925,0.51442,1.06169,1.07712,1.35061,0.0083368,0.0083368,0.0083368
86,4655.6,1.1229,1.44556,1.42072,0.73569,0.65501,0.72995,0.51501,1.06092,1.0749,1.34961,0.008317,0.008317,0.008317
87,4763.7,1.12474,1.45872,1.41699,0.73671,0.65427,0.73059,0.51582,1.05984,1.07274,1.34856,0.0082972,0.0082972,0.0082972
88,4871.82,1.12598,1.44789,1.41756,0.73613,0.65627,0.73156,0.51678,1.05892,1.0708,1.34738,0.0082774,0.0082774,0.0082774
89,4980.01,1.11627,1.44104,1.41463,0.73849,0.65417,0.73231,0.51779,1.05802,1.06892,1.34626,0.0082576,0.0082576,0.0082576
90,5088.08,1.10976,1.43151,1.41319,0.7367,0.65504,0.73306,0.51862,1.05725,1.06736,1.34532,0.0082378,0.0082378,0.0082378
91,5196.18,1.11323,1.43886,1.41215,0.73944,0.65514,0.73365,0.51933,1.05633,1.06567,1.34438,0.008218,0.008218,0.008218
92,5304.41,1.11518,1.4252,1.41051,0.74208,0.6537,0.73443,0.51984,1.05576,1.06377,1.34345,0.0081982,0.0081982,0.0081982
93,5412.61,1.11716,1.43597,1.41351,0.74092,0.65477,0.73524,0.52093,1.05512,1.06188,1.34255,0.0081784,0.0081784,0.0081784
94,5520.77,1.10894,1.42178,1.40362,0.74202,0.65434,0.73575,0.52174,1.05453,1.06023,1.34168,0.0081586,0.0081586,0.0081586
95,5628.95,1.1156,1.41606,1.40879,0.74454,0.65473,0.73647,0.52239,1.05365,1.05829,1.34053,0.0081388,0.0081388,0.0081388
96,5737.06,1.10343,1.40319,1.40328,0.74262,0.65686,0.7371,0.52265,1.05259,1.05639,1.3393,0.008119,0.008119,0.008119
97,5845.1,1.10886,1.40423,1.39922,0.74241,0.65923,0.73786,0.52359,1.05181,1.05453,1.3384,0.0080992,0.0080992,0.0080992
98,5953.24,1.10812,1.40198,1.40379,0.74037,0.66241,0.73825,0.52396,1.0513,1.05272,1.33757,0.0080794,0.0080794,0.0080794
99,6061.39,1.10932,1.41176,1.40645,0.74074,0.662,0.73944,0.52478,1.05077,1.05086,1.33679,0.0080596,0.0080596,0.0080596
100,6169.55,1.10449,1.3971,1.39969,0.74209,0.66223,0.73934,0.5255,1.04991,1.04909,1.33565,0.0080398,0.0080398,0.0080398
101,6277.7,1.10919,1.38594,1.40091,0.73681,0.66583,0.73993,0.52573,1.04937,1.04769,1.33493,0.00802,0.00802,0.00802
102,6385.91,1.10008,1.39603,1.39798,0.73957,0.66506,0.74045,0.52636,1.04899,1.04625,1.33425,0.0080002,0.0080002,0.0080002
103,6494.08,1.10056,1.39647,1.39532,0.74098,0.66482,0.74111,0.52702,1.04846,1.04458,1.33334,0.0079804,0.0079804,0.0079804
104,6602.29,1.08903,1.39197,1.38891,0.74056,0.66507,0.74151,0.52749,1.04747,1.04285,1.33216,0.0079606,0.0079606,0.0079606
105,6710.35,1.09091,1.38391,1.39214,0.741,0.66499,0.74298,0.52811,1.0469,1.04092,1.33138,0.0079408,0.0079408,0.0079408
106,6818.49,1.09431,1.38421,1.39178,0.74158,0.66468,0.74338,0.52918,1.04625,1.03896,1.3305,0.007921,0.007921,0.007921
107,6926.52,1.10242,1.38284,1.39273,0.74321,0.66554,0.74372,0.52954,1.04576,1.03749,1.32972,0.0079012,0.0079012,0.0079012
108,7034.66,1.0803,1.36922,1.37967,0.74162,0.66698,0.74413,0.5307,1.04524,1.03577,1.32898,0.0078814,0.0078814,0.0078814
109,7142.72,1.08456,1.38463,1.3855,0.74441,0.66605,0.74484,0.53135,1.0445,1.03434,1.32808,0.0078616,0.0078616,0.0078616
110,7250.86,1.09077,1.36715,1.39015,0.74343,0.6669,0.74527,0.53214,1.04388,1.03265,1.32722,0.0078418,0.0078418,0.0078418
111,7359.02,1.09475,1.36363,1.38873,0.74553,0.66758,0.74619,0.53312,1.04341,1.03131,1.32648,0.007822,0.007822,0.007822
