epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.3364,3.25817,4.92198,4.10816,0.00294,0.19789,0.00224,0.00067,2.98227,4.23132,3.98721,0.00332046,0.00332046,0.00332046
2,93.4064,2.74877,4.53029,3.37211,0.2646,0.03231,0.00433,0.0013,2.48085,4.58114,3.12209,0.00664062,0.00664062,0.00664062
3,138.279,2.09613,3.82943,2.52472,0.15496,0.0828,0.01828,0.00666,2.12361,3.83958,2.66895,0.00994758,0.00994758,0.00994758
4,183.814,1.85233,3.28713,2.19344,0.27974,0.1594,0.09638,0.04494,1.86303,3.11269,2.26097,0.0099406,0.0099406,0.0099406
5,228.945,1.72036,2.99755,2.04015,0.23618,0.24281,0.14732,0.07469,1.74398,2.93863,2.13383,0.0099208,0.0099208,0.0099208
6,274.296,1.64057,2.80678,1.94238,0.24,0.25459,0.18281,0.09534,1.74463,2.72339,2.0565,0.009901,0.009901,0.009901
7,318.937,1.59051,2.67602,1.89071,0.40019,0.30438,0.25268,0.13555,1.62514,2.34633,1.97435,0.0098812,0.0098812,0.0098812
8,363.334,1.54187,2.55847,1.83745,0.3633,0.32693,0.26963,0.15006,1.57573,2.23801,1.91915,0.0098614,0.0098614,0.0098614
9,407.996,1.52305,2.48074,1.81946,0.35646,0.32264,0.2687,0.1502,1.56568,2.28392,1.87668,0.0098416,0.0098416,0.0098416
10,452.73,1.48973,2.40435,1.78835,0.43852,0.36786,0.3513,0.20159,1.49425,2.05003,1.81328,0.0098218,0.0098218,0.0098218
11,497.06,1.46428,2.35553,1.76886,0.45485,0.39208,0.38675,0.22414,1.46374,1.94384,1.78669,0.009802,0.009802,0.009802
12,541.442,1.44858,2.30379,1.74956,0.46517,0.41331,0.40686,0.24234,1.4366,1.88431,1.74752,0.0097822,0.0097822,0.0097822
13,585.726,1.42721,2.24577,1.7271,0.48007,0.42494,0.41631,0.24184,1.44493,1.89146,1.76605,0.0097624,0.0097624,0.0097624
14,629.996,1.42224,2.22127,1.71562,0.47934,0.4152,0.42277,0.25209,1.42579,1.87558,1.7356,0.0097426,0.0097426,0.0097426
15,674.294,1.40231,2.16948,1.69497,0.49984,0.43527,0.44819,0.27298,1.38906,1.8081,1.7086,0.0097228,0.0097228,0.0097228
16,718.393,1.38123,2.13884,1.6788,0.52611,0.44026,0.45867,0.28115,1.36829,1.7484,1.68208,0.009703,0.009703,0.009703
17,762.513,1.37391,2.09743,1.67299,0.5293,0.46335,0.48505,0.29821,1.33789,1.68468,1.64622,0.0096832,0.0096832,0.0096832
18,806.786,1.3665,2.07608,1.66153,0.56331,0.46731,0.50383,0.30945,1.34233,1.65764,1.63826,0.0096634,0.0096634,0.0096634
19,851.014,1.35811,2.04787,1.65335,0.58912,0.47278,0.51957,0.32264,1.3058,1.62653,1.61799,0.0096436,0.0096436,0.0096436
20,895.263,1.35009,2.02579,1.64687,0.57101,0.49501,0.52623,0.33271,1.30825,1.59088,1.60814,0.0096238,0.0096238,0.0096238
21,939.39,1.33088,1.96774,1.63278,0.58488,0.49433,0.53843,0.33796,1.29958,1.56737,1.60107,0.009604,0.009604,0.009604
22,983.545,1.32889,1.97151,1.62546,0.60333,0.50605,0.55483,0.35186,1.27615,1.53047,1.58568,0.0095842,0.0095842,0.0095842
