epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.7791,3.30829,4.97425,4.20553,0.00336,0.04989,0.0017,0.00055,3.31249,10.6875,5.78373,0.00332046,0.00332046,0.00332046
2,138.244,2.87196,4.61356,3.53608,0.10579,0.04008,0.00489,0.00136,2.59174,4.82908,3.22962,0.00664062,0.00664062,0.00664062
3,203.457,2.06006,3.79551,2.53506,0.15632,0.08431,0.02562,0.01048,1.97256,3.63619,2.49358,0.00994758,0.00994758,0.00994758
4,266.831,1.75834,3.20654,2.16739,0.24473,0.18903,0.09884,0.04813,1.76702,2.9069,2.25883,0.0099406,0.0099406,0.0099406
5,330.545,1.63088,2.9004,2.01568,0.25428,0.2682,0.16889,0.09089,1.6429,2.67077,2.05985,0.0099208,0.0099208,0.0099208
6,393.82,1.55735,2.71696,1.92678,0.28085,0.28596,0.21839,0.12061,1.57698,2.40222,1.96635,0.009901,0.009901,0.009901
7,456.976,1.51008,2.59468,1.88183,0.39765,0.31372,0.26625,0.15211,1.51607,2.2417,1.90792,0.0098812,0.0098812,0.0098812
8,519.764,1.47086,2.48301,1.8286,0.37687,0.35144,0.31854,0.1845,1.4993,2.11579,1.8814,0.0098614,0.0098614,0.0098614
9,582.813,1.44872,2.3955,1.80664,0.40302,0.38159,0.34569,0.20479,1.44427,2.00915,1.82407,0.0098416,0.0098416,0.0098416
10,645.736,1.41553,2.32011,1.77136,0.43623,0.39457,0.37369,0.2213,1.42454,1.95345,1.7975,0.0098218,0.0098218,0.0098218
11,708.659,1.39611,2.26506,1.75414,0.44971,0.40966,0.39474,0.23958,1.39673,1.91476,1.77461,0.009802,0.009802,0.009802
12,771.481,1.37617,2.2146,1.73265,0.49518,0.41388,0.43041,0.2634,1.36806,1.8065,1.74097,0.0097822,0.0097822,0.0097822
13,834.22,1.3628,2.15034,1.7151,0.51979,0.44133,0.4542,0.27662,1.36985,1.75693,1.72835,0.0097624,0.0097624,0.0097624
14,896.913,1.35016,2.11919,1.69523,0.52486,0.46383,0.47678,0.29638,1.3359,1.73165,1.69224,0.0097426,0.0097426,0.0097426
15,959.57,1.33413,2.07753,1.68341,0.5568,0.45781,0.49148,0.30848,1.31312,1.66671,1.67446,0.0097228,0.0097228,0.0097228
16,1022.35,1.31391,2.0422,1.6641,0.56951,0.48837,0.51708,0.32878,1.28989,1.58888,1.64851,0.009703,0.009703,0.009703
17,1085.16,1.30911,2.0049,1.65494,0.55815,0.48158,0.51825,0.32898,1.28034,1.60459,1.62711,0.0096832,0.0096832,0.0096832
18,1148.02,1.30285,1.98649,1.64615,0.55685,0.50667,0.53328,0.33969,1.26244,1.56357,1.61019,0.0096634,0.0096634,0.0096634
19,1210.69,1.28864,1.95233,1.6345,0.62142,0.50324,0.55815,0.36446,1.24059,1.501,1.58747,0.0096436,0.0096436,0.0096436
20,1273.36,1.28519,1.93577,1.62964,0.59716,0.53192,0.57202,0.37214,1.2387,1.4716,1.58009,0.0096238,0.0096238,0.0096238
21,1336.03,1.26506,1.86733,1.60977,0.61087,0.52308,0.57391,0.37612,1.23696,1.45434,1.56992,0.009604,0.009604,0.009604
22,1398.72,1.26339,1.86985,1.60184,0.6398,0.53385,0.59244,0.38586,1.21131,1.42375,1.55539,0.0095842,0.0095842,0.0095842
23,1461.36,1.25007,1.84604,1.5946,0.64506,0.54318,0.60455,0.40042,1.19564,1.38253,1.53441,0.0095644,0.0095644,0.0095644
24,1523.89,1.23831,1.83343,1.58834,0.65012,0.54207,0.60694,0.40802,1.18702,1.36908,1.52928,0.0095446,0.0095446,0.0095446
25,1586.5,1.23489,1.80506,1.58014,0.66692,0.5543,0.62296,0.4177,1.18075,1.34548,1.51885,0.0095248,0.0095248,0.0095248
26,1649.09,1.22762,1.79111,1.57401,0.62653,0.58239,0.62372,0.41794,1.17592,1.32789,1.51872,0.009505,0.009505,0.009505
27,1711.64,1.22708,1.76796,1.57196,0.65691,0.58003,0.63397,0.42955,1.16229,1.2973,1.50086,0.0094852,0.0094852,0.0094852
28,1774.22,1.2278,1.75859,1.57106,0.66376,0.5679,0.63599,0.43136,1.16546,1.29464,1.49758,0.0094654,0.0094654,0.0094654
29,1836.74,1.21089,1.73344,1.55207,0.66919,0.58084,0.64643,0.43958,1.15005,1.26738,1.48383,0.0094456,0.0094456,0.0094456
30,1899.22,1.20077,1.70793,1.54941,0.68425,0.58828,0.66078,0.4533,1.13502,1.23522,1.46652,0.0094258,0.0094258,0.0094258
31,1961.71,1.20559,1.7021,1.54694,0.6874,0.60088,0.667,0.45673,1.13042,1.21387,1.45685,0.009406,0.009406,0.009406
32,2024.27,1.20218,1.70555,1.54352,0.6764,0.60498,0.67179,0.46078,1.12615,1.21586,1.45645,0.0093862,0.0093862,0.0093862
33,2086.8,1.19658,1.68886,1.53386,0.69465,0.60097,0.67614,0.4645,1.11909,1.19993,1.44941,0.0093664,0.0093664,0.0093664
34,2149.34,1.19514,1.66749,1.5376,0.68756,0.6135,0.6847,0.4717,1.11019,1.1902,1.44348,0.0093466,0.0093466,0.0093466
35,2211.78,1.18363,1.65451,1.52692,0.69141,0.62141,0.69052,0.4767,1.10234,1.1705,1.43291,0.0093268,0.0093268,0.0093268
36,2274.24,1.17517,1.64338,1.52118,0.70174,0.62201,0.69493,0.4806,1.09894,1.15537,1.42915,0.009307,0.009307,0.009307
37,2336.67,1.18758,1.64459,1.52636,0.69841,0.62949,0.69686,0.48468,1.09293,1.14357,1.42392,0.0092872,0.0092872,0.0092872
38,2399.13,1.16788,1.62193,1.51073,0.71403,0.62574,0.70316,0.49382,1.08558,1.1324,1.41779,0.0092674,0.0092674,0.0092674
39,2461.57,1.17522,1.63098,1.51218,0.71222,0.63002,0.70728,0.49567,1.08476,1.12343,1.4138,0.0092476,0.0092476,0.0092476
40,2524.03,1.16731,1.60011,1.50793,0.70993,0.63499,0.71011,0.49855,1.0807,1.12247,1.40688,0.0092278,0.0092278,0.0092278
41,2586.46,1.16088,1.59504,1.50632,0.71603,0.63308,0.71479,0.50136,1.08055,1.11299,1.40732,0.009208,0.009208,0.009208
42,2649.05,1.15964,1.58084,1.50349,0.73378,0.63716,0.72038,0.50541,1.07203,1.09903,1.4012,0.0091882,0.0091882,0.0091882
43,2711.46,1.14621,1.55599,1.49059,0.72383,0.64297,0.72246,0.50794,1.0696,1.09124,1.39542,0.0091684,0.0091684,0.0091684
44,2773.86,1.14798,1.56285,1.49452,0.73156,0.6402,0.72603,0.5107,1.06632,1.08624,1.39214,0.0091486,0.0091486,0.0091486
45,2836.27,1.14463,1.54621,1.48915,0.73274,0.64904,0.72937,0.51526,1.0635,1.07998,1.38721,0.0091288,0.0091288,0.0091288
