epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.3851,3.31275,5.00146,4.23379,0.0024,0.27215,0.00193,0.00058,3.0982,4.34134,4.34309,0.00332046,0.00332046,0.00332046
2,142.405,2.90822,4.65839,3.59883,0.31376,0.05372,0.00469,0.00137,2.5438,7.5696,3.1464,0.00664062,0.00664062,0.00664062
3,208.679,2.05133,3.81946,2.51436,0.1201,0.06528,0.01215,0.00476,2.11989,4.02597,2.73719,0.00994758,0.00994758,0.00994758
4,275.393,1.77023,3.22764,2.15107,0.22152,0.15874,0.08453,0.03976,1.83533,3.1488,2.24288,0.0099406,0.0099406,0.0099406
5,341.087,1.64125,2.91963,1.99011,0.27236,0.25101,0.1731,0.09282,1.63796,2.61869,2.05736,0.0099208,0.0099208,0.0099208
6,406.142,1.56902,2.72242,1.899,0.32766,0.28876,0.23609,0.13068,1.57606,2.37648,1.96332,0.009901,0.009901,0.009901
7,471.233,1.51774,2.59193,1.85327,0.37624,0.31006,0.26491,0.15031,1.53911,2.25635,1.91495,0.0098812,0.0098812,0.0098812
8,537.108,1.4737,2.47288,1.8033,0.38406,0.36711,0.32007,0.1871,1.476,2.07506,1.84204,0.0098614,0.0098614,0.0098614
9,602.763,1.45046,2.38119,1.78503,0.4071,0.3696,0.33162,0.19131,1.4507,2.05213,1.80129,0.0098416,0.0098416,0.0098416
10,668.058,1.4145,2.30745,1.75068,0.41838,0.40116,0.36741,0.21423,1.42892,1.96015,1.77117,0.0098218,0.0098218,0.0098218
11,734.341,1.39583,2.25779,1.7334,0.46122,0.42049,0.41108,0.24586,1.39741,1.8653,1.75218,0.009802,0.009802,0.009802
12,799.277,1.38122,2.19539,1.71485,0.49142,0.42985,0.44109,0.27184,1.36392,1.79935,1.70937,0.0097822,0.0097822,0.0097822
13,864.082,1.35893,2.13064,1.69397,0.50608,0.4478,0.45578,0.27373,1.36701,1.76164,1.70686,0.0097624,0.0097624,0.0097624
14,928.758,1.35049,2.10782,1.67795,0.52041,0.45722,0.47672,0.29507,1.33178,1.69726,1.67562,0.0097426,0.0097426,0.0097426
15,993.654,1.33078,2.05617,1.65994,0.54614,0.49143,0.51263,0.32113,1.30271,1.63434,1.63347,0.0097228,0.0097228,0.0097228
16,1058.4,1.31069,2.02614,1.64495,0.5547,0.50241,0.5172,0.32314,1.29323,1.59843,1.62629,0.009703,0.009703,0.009703
17,1123.17,1.30572,1.97818,1.63947,0.57446,0.49545,0.53095,0.33846,1.26744,1.57373,1.60049,0.0096832,0.0096832,0.0096832
18,1188.12,1.29895,1.96493,1.63085,0.57333,0.50141,0.53934,0.34317,1.25875,1.58706,1.58176,0.0096634,0.0096634,0.0096634
19,1253.1,1.28653,1.9316,1.62009,0.60477,0.52171,0.56528,0.36416,1.23537,1.50684,1.57058,0.0096436,0.0096436,0.0096436
20,1317.84,1.28156,1.90938,1.61152,0.62323,0.52244,0.57919,0.37842,1.22288,1.44889,1.55242,0.0096238,0.0096238,0.0096238
21,1382.58,1.25955,1.84026,1.59429,0.62585,0.52728,0.5909,0.38561,1.21914,1.4277,1.54622,0.009604,0.009604,0.009604
22,1447.47,1.25948,1.84656,1.58844,0.62967,0.56238,0.60472,0.39778,1.2004,1.39066,1.53048,0.0095842,0.0095842,0.0095842
23,1540.39,1.24751,1.82245,1.57753,0.63917,0.55547,0.61127,0.40438,1.18624,1.36444,1.51008,0.0095644,0.0095644,0.0095644
24,1615.18,1.2344,1.81026,1.57203,0.65544,0.55913,0.62061,0.41294,1.17093,1.35608,1.49866,0.0095446,0.0095446,0.0095446
25,1679.88,1.23684,1.77255,1.56543,0.64457,0.56542,0.62533,0.42027,1.15827,1.33513,1.4841,0.0095248,0.0095248,0.0095248
26,1744.7,1.22184,1.76377,1.55822,0.64445,0.58261,0.63658,0.42885,1.15191,1.29885,1.48451,0.009505,0.009505,0.009505
27,1809.57,1.22544,1.73716,1.55558,0.68556,0.58147,0.65389,0.44351,1.14163,1.27597,1.46368,0.0094852,0.0094852,0.0094852
28,1874.48,1.22352,1.73412,1.55406,0.68565,0.59854,0.66543,0.45578,1.13202,1.24882,1.4544,0.0094654,0.0094654,0.0094654
29,1939.18,1.20751,1.70724,1.53711,0.69515,0.59172,0.65941,0.44807,1.12518,1.24899,1.4519,0.0094456,0.0094456,0.0094456
30,2004.05,1.19485,1.68118,1.5319,0.71684,0.59498,0.67444,0.46264,1.11737,1.21261,1.43841,0.0094258,0.0094258,0.0094258
31,2068.97,1.19668,1.67788,1.5286,0.7032,0.60243,0.67638,0.46452,1.11434,1.20186,1.43545,0.009406,0.009406,0.009406
32,2133.87,1.19427,1.6858,1.52501,0.72982,0.59699,0.68648,0.47321,1.10468,1.19234,1.42777,0.0093862,0.0093862,0.0093862
33,2198.83,1.18934,1.65739,1.51036,0.71205,0.61576,0.69154,0.47719,1.10184,1.17019,1.42322,0.0093664,0.0093664,0.0093664
34,2263.83,1.18771,1.64363,1.51771,0.71377,0.61826,0.70073,0.4869,1.09282,1.15765,1.4127,0.0093466,0.0093466,0.0093466
35,2328.74,1.17971,1.62202,1.5108,0.72848,0.61927,0.70403,0.48845,1.08782,1.14964,1.40536,0.0093268,0.0093268,0.0093268
36,2393.77,1.16488,1.61323,1.49938,0.7323,0.62787,0.70991,0.49319,1.08371,1.13731,1.40494,0.009307,0.009307,0.009307
