epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.0856,3.30472,5.01369,4.213,0.00251,0.17626,0.00169,0.00053,3.13013,4.35804,4.15415,0.00332046,0.00332046,0.00332046
2,141.976,2.93707,4.65143,3.60581,0.0026,0.17351,0.00246,0.00072,2.67766,11.2398,3.28182,0.00664062,0.00664062,0.00664062
3,205.662,2.10972,3.87437,2.5434,0.16408,0.08338,0.02479,0.00936,2.06771,3.76424,2.61561,0.00994758,0.00994758,0.00994758
4,268.93,1.80084,3.27855,2.15265,0.20138,0.1704,0.09496,0.04468,1.82845,2.97623,2.2277,0.0099406,0.0099406,0.0099406
5,331.728,1.6728,2.97264,2.00508,0.25122,0.23191,0.1464,0.07641,1.68291,2.6843,2.05915,0.0099208,0.0099208,0.0099208
6,394.309,1.58982,2.77152,1.90706,0.25211,0.26103,0.20779,0.10966,1.63284,2.44414,1.98352,0.009901,0.009901,0.009901
7,456.606,1.53387,2.63618,1.85991,0.32808,0.28592,0.23884,0.13192,1.55119,2.38506,1.92748,0.0098812,0.0098812,0.0098812
8,519.034,1.48478,2.51703,1.81089,0.35571,0.32815,0.28731,0.16125,1.52445,2.19026,1.86941,0.0098614,0.0098614,0.0098614
9,581.611,1.46789,2.42473,1.78551,0.40016,0.3551,0.32091,0.18217,1.48979,2.1193,1.84272,0.0098416,0.0098416,0.0098416
10,643.979,1.43423,2.34883,1.75491,0.45074,0.37622,0.3593,0.2075,1.45673,2.03569,1.79811,0.0098218,0.0098218,0.0098218
11,706.209,1.41076,2.29716,1.73771,0.4644,0.42102,0.41058,0.24529,1.4178,1.88477,1.77067,0.009802,0.009802,0.009802
12,768.612,1.39478,2.2395,1.71882,0.48153,0.41245,0.41972,0.25399,1.40359,1.85161,1.73435,0.0097822,0.0097822,0.0097822
13,831.205,1.37952,2.18221,1.70455,0.49214,0.42725,0.43649,0.26015,1.38094,1.83078,1.71532,0.0097624,0.0097624,0.0097624
14,893.639,1.36422,2.13745,1.68433,0.50835,0.45263,0.46015,0.28138,1.35496,1.73848,1.68028,0.0097426,0.0097426,0.0097426
15,956.034,1.34938,2.09617,1.66887,0.53382,0.45664,0.47269,0.29514,1.34486,1.71184,1.67451,0.0097228,0.0097228,0.0097228
16,1018.42,1.33158,2.06457,1.65507,0.50906,0.47398,0.48654,0.30717,1.3113,1.66748,1.64029,0.009703,0.009703,0.009703
17,1080.89,1.32244,2.02836,1.64501,0.5548,0.47678,0.50358,0.31598,1.30493,1.63008,1.63292,0.0096832,0.0096832,0.0096832
18,1143.36,1.3179,2.01254,1.6388,0.58132,0.48201,0.52576,0.33321,1.27922,1.59451,1.61177,0.0096634,0.0096634,0.0096634
19,1205.81,1.30448,1.97809,1.62753,0.61109,0.4874,0.54127,0.3443,1.2621,1.5766,1.58345,0.0096436,0.0096436,0.0096436
