epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.2564,3.33311,4.98767,4.20711,0.00272,0.02301,0.00152,0.00047,3.22393,6.93153,4.85009,0.00332046,0.00332046,0.00332046
2,97.7947,2.78156,4.57736,3.42537,0.41176,0.02639,0.00531,0.00151,2.46396,4.60664,3.09285,0.00664062,0.00664062,0.00664062
3,144.309,2.03784,3.76002,2.50805,0.15261,0.10302,0.02724,0.0108,2.07405,4.29556,2.70662,0.00994758,0.00994758,0.00994758
4,188.87,1.78715,3.26965,2.20706,0.22563,0.15623,0.08192,0.03831,1.80268,3.02436,2.31521,0.0099406,0.0099406,0.0099406
5,234.211,1.65907,2.98986,2.06784,0.24786,0.21986,0.14397,0.07475,1.66456,2.78282,2.11019,0.0099208,0.0099208,0.0099208
6,278.745,1.59085,2.81255,1.97255,0.27408,0.26998,0.20083,0.11012,1.61068,2.4611,2.02931,0.009901,0.009901,0.009901
7,323.151,1.54265,2.68339,1.92047,0.38708,0.28954,0.23532,0.13177,1.55898,2.3533,1.97663,0.0098812,0.0098812,0.0098812
8,367.317,1.49965,2.57909,1.87252,0.31666,0.31412,0.26008,0.14755,1.51857,2.20793,1.90802,0.0098614,0.0098614,0.0098614
9,411.624,1.48736,2.5029,1.85492,0.35905,0.34696,0.29278,0.16316,1.52341,2.17319,1.9055,0.0098416,0.0098416,0.0098416
10,455.733,1.45588,2.42758,1.82112,0.37281,0.38346,0.32768,0.18778,1.45617,2.05408,1.84293,0.0098218,0.0098218,0.0098218
11,499.879,1.43793,2.37515,1.80977,0.41947,0.36315,0.34356,0.20022,1.45343,2.08187,1.8561,0.009802,0.009802,0.009802
12,543.643,1.4232,2.32805,1.78712,0.40507,0.37274,0.3565,0.21514,1.42717,1.98099,1.80653,0.0097822,0.0097822,0.0097822
13,587.527,1.40296,2.26478,1.76993,0.4717,0.4177,0.40672,0.2436,1.40836,1.87284,1.7803,0.0097624,0.0097624,0.0097624
14,631.223,1.39573,2.24793,1.75268,0.49136,0.42793,0.43066,0.25782,1.38181,1.8344,1.76039,0.0097426,0.0097426,0.0097426
15,675.129,1.37064,2.18934,1.73164,0.4807,0.44613,0.44555,0.27449,1.35476,1.79699,1.73667,0.0097228,0.0097228,0.0097228
16,718.894,1.35316,2.16147,1.71381,0.51921,0.45103,0.46423,0.2838,1.3385,1.71475,1.69522,0.009703,0.009703,0.009703
17,762.662,1.34386,2.1206,1.70346,0.53455,0.46032,0.476,0.29474,1.3279,1.69464,1.68965,0.0096832,0.0096832,0.0096832
18,806.744,1.33977,2.10104,1.69374,0.5236,0.46159,0.48269,0.29636,1.31427,1.68427,1.65794,0.0096634,0.0096634,0.0096634
19,850.788,1.32666,2.07018,1.68249,0.55418,0.48791,0.51395,0.32211,1.29117,1.60468,1.64891,0.0096436,0.0096436,0.0096436
20,894.599,1.31987,2.0463,1.67118,0.57106,0.49054,0.52454,0.32987,1.29001,1.58013,1.63671,0.0096238,0.0096238,0.0096238
21,938.596,1.30384,1.9831,1.65685,0.57879,0.48986,0.53712,0.34283,1.26572,1.54775,1.61649,0.009604,0.009604,0.009604
22,982.439,1.30352,1.98995,1.65323,0.62217,0.51049,0.55753,0.35439,1.25021,1.51706,1.59824,0.0095842,0.0095842,0.0095842
23,1026.44,1.28581,1.97003,1.63474,0.61754,0.51938,0.56422,0.36264,1.24124,1.48263,1.58482,0.0095644,0.0095644,0.0095644
24,1070.13,1.27792,1.95037,1.63551,0.60766,0.52082,0.56717,0.36923,1.23125,1.4682,1.57834,0.0095446,0.0095446,0.0095446
25,1114.28,1.27672,1.91648,1.62231,0.6173,0.53054,0.57726,0.37731,1.21405,1.46089,1.55843,0.0095248,0.0095248,0.0095248
26,1158.04,1.26491,1.90554,1.61402,0.61192,0.54494,0.58859,0.38505,1.21406,1.42583,1.56262,0.009505,0.009505,0.009505
27,1202.05,1.26797,1.87562,1.61576,0.63228,0.55035,0.60166,0.3958,1.19687,1.39341,1.54802,0.0094852,0.0094852,0.0094852
28,1245.75,1.26774,1.87371,1.61262,0.64843,0.54739,0.60827,0.40383,1.18939,1.36554,1.53439,0.0094654,0.0094654,0.0094654
29,1289.53,1.25008,1.84473,1.59187,0.66161,0.55038,0.61266,0.40701,1.17865,1.35605,1.52332,0.0094456,0.0094456,0.0094456
30,1333.28,1.23904,1.82151,1.58943,0.64922,0.56768,0.62563,0.41893,1.17111,1.32812,1.5131,0.0094258,0.0094258,0.0094258
31,1377.07,1.24406,1.82142,1.58895,0.66109,0.56859,0.62884,0.42099,1.16407,1.31379,1.5019,0.009406,0.009406,0.009406
32,1420.89,1.2396,1.82154,1.58329,0.6711,0.56318,0.6316,0.4252,1.15631,1.30612,1.49643,0.0093862,0.0093862,0.0093862
33,1464.77,1.23776,1.79497,1.5704,0.66989,0.5691,0.63556,0.4284,1.15323,1.29504,1.48848,0.0093664,0.0093664,0.0093664
34,1508.48,1.2342,1.78105,1.57579,0.67894,0.57554,0.64652,0.43563,1.14465,1.27348,1.4862,0.0093466,0.0093466,0.0093466
35,1552.12,1.22649,1.76397,1.56873,0.68029,0.57843,0.65023,0.4397,1.139,1.26283,1.47734,0.0093268,0.0093268,0.0093268
36,1596.09,1.21601,1.7619,1.56049,0.689,0.58886,0.6604,0.44767,1.13327,1.24957,1.47099,0.009307,0.009307,0.009307
37,1639.92,1.22871,1.76109,1.56896,0.6793,0.59343,0.66068,0.44919,1.12539,1.23941,1.46751,0.0092872,0.0092872,0.0092872
38,1683.57,1.21055,1.73963,1.55561,0.67942,0.59518,0.66776,0.45398,1.11748,1.22665,1.46025,0.0092674,0.0092674,0.0092674
39,1727.26,1.21309,1.73948,1.55505,0.70585,0.58668,0.67198,0.45869,1.1167,1.21574,1.45223,0.0092476,0.0092476,0.0092476
40,1770.94,1.20425,1.71123,1.54771,0.70547,0.59545,0.67854,0.46613,1.11263,1.20056,1.44658,0.0092278,0.0092278,0.0092278
41,1814.68,1.19785,1.70783,1.54112,0.68617,0.61867,0.6852,0.46893,1.11134,1.19208,1.44392,0.009208,0.009208,0.009208
42,1858.27,1.19851,1.69694,1.53962,0.71477,0.60434,0.68529,0.47118,1.10336,1.18241,1.43526,0.0091882,0.0091882,0.0091882
43,1902.13,1.18446,1.67494,1.53028,0.70344,0.61301,0.68828,0.47484,1.09891,1.17298,1.42903,0.0091684,0.0091684,0.0091684
44,1945.67,1.18792,1.68019,1.53421,0.70507,0.61371,0.6916,0.47855,1.09664,1.1676,1.42735,0.0091486,0.0091486,0.0091486
45,1989.23,1.18248,1.66379,1.52647,0.72123,0.6125,0.69617,0.48239,1.09233,1.16357,1.42273,0.0091288,0.0091288,0.0091288
46,2032.84,1.18736,1.66381,1.52588,0.71678,0.61638,0.69986,0.48591,1.08749,1.1538,1.4174,0.009109,0.009109,0.009109
47,2076.4,1.17908,1.6471,1.51996,0.71322,0.6225,0.70283,0.48762,1.08474,1.14661,1.41405,0.0090892,0.0090892,0.0090892
48,2119.96,1.18566,1.65201,1.52155,0.72843,0.61786,0.70407,0.49006,1.08409,1.13925,1.411,0.0090694,0.0090694,0.0090694
49,2163.69,1.18291,1.64867,1.51725,0.74047,0.60935,0.70571,0.49097,1.08263,1.13323,1.40845,0.0090496,0.0090496,0.0090496
50,2207.23,1.17979,1.63122,1.51653,0.71639,0.63157,0.70846,0.49357,1.07916,1.12695,1.40598,0.0090298,0.0090298,0.0090298
51,2250.9,1.17637,1.62881,1.51095,0.71405,0.63659,0.71039,0.4965,1.07607,1.12057,1.40297,0.00901,0.00901,0.00901
52,2294.34,1.17074,1.61405,1.50818,0.72021,0.63447,0.71278,0.4982,1.07273,1.11711,1.40049,0.0089902,0.0089902,0.0089902
53,2338.06,1.16569,1.62917,1.5053,0.7116,0.64799,0.71528,0.5014,1.07019,1.11146,1.39693,0.0089704,0.0089704,0.0089704
54,2381.63,1.16069,1.6001,1.49598,0.72073,0.64222,0.71594,0.5032,1.06671,1.10737,1.3945,0.0089506,0.0089506,0.0089506
55,2425.34,1.15105,1.58652,1.49138,0.73776,0.63256,0.71866,0.50571,1.06389,1.10258,1.39105,0.0089308,0.0089308,0.0089308
56,2468.77,1.16673,1.60169,1.4999,0.73104,0.64119,0.72054,0.50757,1.06204,1.09939,1.38879,0.008911,0.008911,0.008911
57,2512.5,1.16635,1.58882,1.49946,0.72621,0.64693,0.72164,0.50901,1.06073,1.09598,1.38652,0.0088912,0.0088912,0.0088912
