epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,955.868,3.14691,5.05411,3.60749,0.34777,0.02741,0.01462,0.00639,2.17978,3.50766,2.48934,0.00333243,0.00333243,0.00333243
2,1849.28,1.75476,3.22877,1.95136,0.26408,0.18632,0.13322,0.07905,1.58106,2.42085,1.78492,0.00665257,0.00665257,0.00665257
3,2703.98,1.51016,2.57036,1.68351,0.36284,0.26277,0.23257,0.14806,1.40326,1.99444,1.59958,0.0099595,0.0099595,0.0099595
4,3603.74,1.39383,2.21673,1.55903,0.44355,0.33576,0.32357,0.21511,1.27559,1.69466,1.47244,0.0099406,0.0099406,0.0099406
5,4492.07,1.3012,1.95856,1.4729,0.50315,0.36811,0.37943,0.25825,1.20795,1.53732,1.40771,0.0099208,0.0099208,0.0099208
6,5364.16,1.24818,1.81495,1.42453,0.53116,0.39827,0.41591,0.28618,1.16562,1.44629,1.36859,0.009901,0.009901,0.009901
7,6254.13,1.21659,1.72671,1.39265,0.54899,0.41257,0.43906,0.30429,1.14124,1.38954,1.34301,0.0098812,0.0098812,0.0098812
8,7152.78,1.19264,1.6604,1.36871,0.55678,0.42255,0.45365,0.31631,1.12525,1.35402,1.32678,0.0098614,0.0098614,0.0098614
9,8008.68,1.17424,1.61016,1.34915,0.56558,0.42844,0.46242,0.32395,1.11352,1.32958,1.31468,0.0098416,0.0098416,0.0098416
10,8881.06,1.15991,1.56651,1.33239,0.54268,0.44802,0.46907,0.32931,1.10477,1.30998,1.30599,0.0098218,0.0098218,0.0098218
11,9741.98,1.14341,1.53493,1.31973,0.54003,0.4582,0.47503,0.33498,1.09695,1.29455,1.29794,0.009802,0.009802,0.009802
12,10687.5,1.13779,1.50602,1.31201,0.55562,0.45749,0.48116,0.33986,1.08984,1.27967,1.2902,0.0097822,0.0097822,0.0097822
13,11625.3,1.12562,1.47883,1.29966,0.56884,0.4594,0.48623,0.34439,1.08308,1.26626,1.2832,0.0097624,0.0097624,0.0097624
14,12552.6,1.11458,1.45252,1.28905,0.57235,0.46156,0.49149,0.34912,1.07626,1.2542,1.27633,0.0097426,0.0097426,0.0097426
15,13449.8,1.10931,1.44163,1.2843,0.57402,0.46781,0.49672,0.35387,1.06995,1.24224,1.26955,0.0097228,0.0097228,0.0097228
16,14349.4,1.10722,1.42749,1.27863,0.58352,0.46996,0.50211,0.3587,1.06397,1.22971,1.26248,0.009703,0.009703,0.009703
17,15186.2,1.10546,1.41411,1.27522,0.57879,0.48064,0.5074,0.36352,1.05826,1.21765,1.25554,0.0096832,0.0096832,0.0096832
18,16036.9,1.09557,1.40194,1.26891,0.58293,0.4848,0.5128,0.36756,1.05266,1.20595,1.24857,0.0096634,0.0096634,0.0096634
19,16918.7,1.09393,1.38533,1.2648,0.58556,0.48876,0.5177,0.37233,1.04687,1.19339,1.24194,0.0096436,0.0096436,0.0096436
20,17846.5,1.08493,1.37718,1.25912,0.59035,0.49497,0.52302,0.37696,1.04146,1.18101,1.23584,0.0096238,0.0096238,0.0096238
21,18741.4,1.08128,1.37736,1.25506,0.59314,0.50017,0.52812,0.38104,1.03581,1.1698,1.22931,0.009604,0.009604,0.009604
22,19666.7,1.08326,1.37098,1.25574,0.59269,0.50607,0.53297,0.3855,1.03084,1.1583,1.22372,0.0095842,0.0095842,0.0095842
23,20560.3,1.07598,1.35798,1.24994,0.59849,0.50952,0.5381,0.3903,1.02694,1.14617,1.21884,0.0095644,0.0095644,0.0095644
24,21447.8,1.07489,1.34902,1.24638,0.6085,0.50787,0.54293,0.39432,1.02243,1.13511,1.21344,0.0095446,0.0095446,0.0095446
25,22331.7,1.07172,1.33977,1.24268,0.61396,0.51162,0.54716,0.39802,1.01876,1.12433,1.20907,0.0095248,0.0095248,0.0095248
26,23207.4,1.07019,1.32891,1.23901,0.61193,0.52061,0.55114,0.40124,1.01525,1.11385,1.20508,0.009505,0.009505,0.009505
27,24069.5,1.07598,1.33197,1.2398,0.61717,0.52464,0.55536,0.40471,1.01201,1.10424,1.20092,0.0094852,0.0094852,0.0094852
28,24985.9,1.06546,1.31767,1.23527,0.6213,0.52779,0.55999,0.40849,1.00944,1.09564,1.19769,0.0094654,0.0094654,0.0094654
29,25915.8,1.06492,1.32025,1.23481,0.63153,0.52786,0.56354,0.41148,1.0059,1.08749,1.19394,0.0094456,0.0094456,0.0094456
