epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,555.262,3.2062,5.21825,3.65313,0.00328,0.08653,0.00419,0.00159,2.43098,3.95525,2.76315,0.00333153,0.00333153,0.00333153
2,1097.63,1.97677,3.69301,2.11849,0.24422,0.09671,0.05381,0.02863,1.835,2.91742,1.96442,0.00665167,0.00665167,0.00665167
3,1632.29,1.68366,2.96574,1.76599,0.21627,0.17126,0.11842,0.06914,1.64258,2.49565,1.72937,0.0099586,0.0099586,0.0099586
4,2169.02,1.56093,2.57002,1.61795,0.32749,0.23108,0.20325,0.12713,1.51129,2.11527,1.58186,0.0099406,0.0099406,0.0099406
5,2727.16,1.47716,2.32953,1.52835,0.39169,0.26852,0.25423,0.16212,1.43661,1.91441,1.49747,0.0099208,0.0099208,0.0099208
6,3271.62,1.43132,2.19393,1.48081,0.42033,0.30815,0.29209,0.19006,1.38352,1.79668,1.44563,0.009901,0.009901,0.009901
7,3813.17,1.40046,2.10299,1.44798,0.45471,0.31558,0.31619,0.20744,1.35032,1.71658,1.41102,0.0098812,0.0098812,0.0098812
8,4361.71,1.37841,2.03041,1.42328,0.46341,0.33779,0.33331,0.22124,1.32667,1.66424,1.38746,0.0098614,0.0098614,0.0098614
9,4907.24,1.35701,1.97285,1.40107,0.47171,0.34605,0.34585,0.23126,1.31201,1.63133,1.37149,0.0098416,0.0098416,0.0098416
10,5435.29,1.3439,1.93094,1.38731,0.48358,0.35187,0.35341,0.23724,1.30199,1.60977,1.36117,0.0098218,0.0098218,0.0098218
11,5967.69,1.33178,1.90228,1.37214,0.49173,0.35295,0.35982,0.24205,1.2943,1.59292,1.35259,0.009802,0.009802,0.009802
12,6502.38,1.32306,1.87089,1.36189,0.49873,0.35426,0.36503,0.24623,1.28756,1.57997,1.34531,0.0097822,0.0097822,0.0097822
13,7031.81,1.31284,1.84381,1.35216,0.50612,0.35626,0.36961,0.25041,1.28187,1.56906,1.33893,0.0097624,0.0097624,0.0097624
14,7576.75,1.30055,1.81914,1.34126,0.51552,0.35892,0.37447,0.25395,1.277,1.55994,1.33293,0.0097426,0.0097426,0.0097426
15,8118.68,1.29734,1.80437,1.33476,0.51929,0.3619,0.37808,0.25693,1.27142,1.5523,1.32706,0.0097228,0.0097228,0.0097228
16,8666.11,1.28976,1.78344,1.32741,0.52875,0.36371,0.38152,0.25989,1.26678,1.54462,1.32131,0.009703,0.009703,0.009703
17,9212.92,1.2891,1.77072,1.32171,0.53798,0.36408,0.38472,0.26306,1.2621,1.5371,1.31573,0.0096832,0.0096832,0.0096832
18,9758.9,1.28361,1.76177,1.318,0.53136,0.36903,0.38823,0.26566,1.25743,1.53061,1.31013,0.0096634,0.0096634,0.0096634
19,10299.3,1.27962,1.74533,1.31384,0.53871,0.37082,0.39216,0.26882,1.25294,1.52303,1.30465,0.0096436,0.0096436,0.0096436
20,10831.2,1.27126,1.72929,1.30765,0.54138,0.37333,0.39608,0.27175,1.24859,1.51423,1.29963,0.0096238,0.0096238,0.0096238
21,11359.4,1.27127,1.7223,1.30415,0.54184,0.37792,0.40023,0.27522,1.24405,1.5045,1.29429,0.009604,0.009604,0.009604
22,11895,1.26754,1.71081,1.30122,0.53826,0.38346,0.40425,0.27846,1.23991,1.49466,1.28943,0.0095842,0.0095842,0.0095842
23,12444.9,1.26551,1.70659,1.29907,0.54406,0.386,0.40823,0.28159,1.23467,1.48441,1.28417,0.0095644,0.0095644,0.0095644
24,12997.5,1.25658,1.69105,1.29254,0.55055,0.38787,0.41224,0.28443,1.23013,1.47441,1.27893,0.0095446,0.0095446,0.0095446
25,13560.3,1.25545,1.68597,1.28934,0.55024,0.39104,0.4156,0.28713,1.2252,1.4649,1.27377,0.0095248,0.0095248,0.0095248
26,14118.9,1.25509,1.68232,1.28705,0.5534,0.39395,0.41947,0.29005,1.21935,1.45331,1.26772,0.009505,0.009505,0.009505
