epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,503.654,3.23059,5.20804,3.69428,0.5464,0.01028,0.00504,0.00192,2.46621,3.85566,2.75768,0.00333153,0.00333153,0.00333153
2,983.987,1.93342,3.56142,2.09893,0.2359,0.12886,0.07999,0.04445,1.74544,2.72319,1.90684,0.00665167,0.00665167,0.00665167
3,1448.97,1.60432,2.79104,1.73319,0.29127,0.21452,0.16417,0.09829,1.54648,2.26585,1.67911,0.0099586,0.0099586,0.0099586
4,1906.98,1.4716,2.3773,1.57991,0.41257,0.27648,0.26121,0.16755,1.3974,1.88838,1.51443,0.0099406,0.0099406,0.0099406
5,2370.63,1.38187,2.09939,1.48636,0.45596,0.32905,0.32519,0.21465,1.3138,1.69299,1.43623,0.0099208,0.0099208,0.0099208
6,2845.49,1.32856,1.96631,1.43564,0.48955,0.3618,0.36702,0.24634,1.26387,1.57486,1.38602,0.009901,0.009901,0.009901
7,3322.01,1.30098,1.8744,1.40195,0.51635,0.3821,0.39458,0.26786,1.22628,1.49754,1.34799,0.0098812,0.0098812,0.0098812
8,3797.67,1.2728,1.8011,1.37462,0.52663,0.39347,0.41131,0.28123,1.20463,1.44954,1.32442,0.0098614,0.0098614,0.0098614
9,4272.34,1.24848,1.74258,1.34917,0.5379,0.40516,0.42291,0.29017,1.19047,1.41791,1.30864,0.0098416,0.0098416,0.0098416
10,4749.48,1.24298,1.70125,1.33647,0.54593,0.40898,0.43102,0.29672,1.18068,1.39704,1.29787,0.0098218,0.0098218,0.0098218
11,5197.8,1.2293,1.66569,1.32019,0.55462,0.41359,0.43743,0.30232,1.17326,1.38132,1.28939,0.009802,0.009802,0.009802
12,5646.87,1.21426,1.63795,1.30895,0.55296,0.42051,0.44297,0.30675,1.16648,1.36788,1.28157,0.0097822,0.0097822,0.0097822
13,6108.72,1.20422,1.61168,1.29556,0.55448,0.42429,0.44723,0.31093,1.15967,1.35583,1.27451,0.0097624,0.0097624,0.0097624
14,6563.95,1.19773,1.57876,1.28678,0.55679,0.43047,0.4521,0.31534,1.15388,1.3453,1.26763,0.0097426,0.0097426,0.0097426
15,7023.35,1.18996,1.5716,1.28101,0.57092,0.43007,0.45752,0.31969,1.14888,1.33554,1.26169,0.0097228,0.0097228,0.0097228
16,7496.52,1.18638,1.55137,1.27453,0.57604,0.43348,0.46241,0.32359,1.14454,1.32632,1.25628,0.009703,0.009703,0.009703
17,7972.69,1.17995,1.53485,1.2673,0.57966,0.4354,0.46721,0.32741,1.13971,1.31621,1.24978,0.0096832,0.0096832,0.0096832
18,8449.1,1.17447,1.52462,1.26474,0.57498,0.44076,0.47057,0.33087,1.13554,1.30726,1.2442,0.0096634,0.0096634,0.0096634
19,8919.64,1.1699,1.50663,1.25664,0.58161,0.44305,0.47505,0.33462,1.1309,1.298,1.23827,0.0096436,0.0096436,0.0096436
20,9403.74,1.16108,1.49845,1.25195,0.5884,0.44434,0.47918,0.33813,1.12645,1.2883,1.23282,0.0096238,0.0096238,0.0096238
21,9873.64,1.1597,1.49557,1.2472,0.59559,0.44713,0.48381,0.34167,1.12161,1.27766,1.22684,0.009604,0.009604,0.009604
22,10346.5,1.15559,1.4855,1.24429,0.59752,0.45128,0.4881,0.34591,1.11673,1.26726,1.22125,0.0095842,0.0095842,0.0095842
23,10804.5,1.15242,1.47095,1.23982,0.5967,0.45765,0.4914,0.34919,1.11209,1.25756,1.21568,0.0095644,0.0095644,0.0095644
24,11259.9,1.14983,1.45859,1.23726,0.60363,0.4586,0.49592,0.35305,1.10711,1.24701,1.21052,0.0095446,0.0095446,0.0095446
25,11712.8,1.14634,1.45582,1.23319,0.60475,0.4622,0.50066,0.35716,1.10225,1.23671,1.20557,0.0095248,0.0095248,0.0095248
26,12213.5,1.14583,1.45429,1.232,0.60473,0.46615,0.5048,0.36039,1.09768,1.22669,1.20063,0.009505,0.009505,0.009505
27,12715.1,1.14988,1.4494,1.22978,0.60442,0.47135,0.50874,0.36347,1.09373,1.21614,1.19646,0.0094852,0.0094852,0.0094852
28,13219.2,1.1419,1.4375,1.2256,0.60391,0.47543,0.51249,0.36648,1.08989,1.20708,1.19253,0.0094654,0.0094654,0.0094654
29,13725.1,1.13931,1.43512,1.22511,0.6098,0.47528,0.51589,0.36897,1.08639,1.19822,1.18845,0.0094456,0.0094456,0.0094456
30,14204,1.14127,1.42812,1.22181,0.61336,0.47697,0.51882,0.37171,1.08312,1.18927,1.18436,0.0094258,0.0094258,0.0094258
31,14707.4,1.13419,1.42005,1.2187,0.61877,0.47825,0.52189,0.37381,1.07928,1.18068,1.18031,0.009406,0.009406,0.009406
32,15219.4,1.13178,1.42064,1.21837,0.62417,0.47948,0.52466,0.37608,1.07607,1.17265,1.17701,0.0093862,0.0093862,0.0093862
33,15746.1,1.13303,1.41003,1.21625,0.62147,0.48342,0.52722,0.37831,1.07291,1.16573,1.17376,0.0093664,0.0093664,0.0093664
34,16247.5,1.12912,1.40681,1.21371,0.61413,0.48894,0.52933,0.38009,1.07049,1.1593,1.17081,0.0093466,0.0093466,0.0093466
35,16800.1,1.13012,1.4064,1.21477,0.61231,0.49137,0.53161,0.38207,1.06802,1.154,1.16769,0.0093268,0.0093268,0.0093268
36,17301.8,1.13024,1.39939,1.21082,0.62132,0.48969,0.53391,0.38361,1.06592,1.1483,1.16524,0.009307,0.009307,0.009307
37,17811.3,1.12873,1.39304,1.21152,0.6258,0.49022,0.53623,0.38527,1.06444,1.1429,1.16355,0.0092872,0.0092872,0.0092872
38,18348.7,1.12357,1.38487,1.20724,0.63467,0.48954,0.53949,0.38764,1.06247,1.13767,1.16129,0.0092674,0.0092674,0.0092674
39,18866.4,1.12697,1.38387,1.20735,0.63601,0.49072,0.54123,0.38941,1.06024,1.13133,1.15891,0.0092476,0.0092476,0.0092476
40,19366.7,1.12374,1.37662,1.20281,0.63492,0.49465,0.54299,0.39112,1.05879,1.1266,1.15687,0.0092278,0.0092278,0.0092278
41,19878.3,1.12782,1.38325,1.2054,0.62884,0.49864,0.54485,0.39253,1.05724,1.12153,1.15498,0.009208,0.009208,0.009208
42,20445.5,1.12199,1.37857,1.20264,0.62585,0.5015,0.54603,0.39379,1.05609,1.11774,1.15337,0.0091882,0.0091882,0.0091882
43,20972,1.12204,1.37087,1.20153,0.62487,0.50365,0.54761,0.39499,1.05475,1.11372,1.15167,0.0091684,0.0091684,0.0091684
44,21477.3,1.11418,1.36729,1.19848,0.63522,0.50045,0.54856,0.3958,1.05369,1.11048,1.15026,0.0091486,0.0091486,0.0091486
45,21983.5,1.11932,1.36762,1.19925,0.6279,0.50804,0.55054,0.39725,1.05208,1.10741,1.14854,0.0091288,0.0091288,0.0091288
46,22512.2,1.11643,1.3648,1.19922,0.62896,0.50707,0.55195,0.39835,1.05126,1.10453,1.14741,0.009109,0.009109,0.009109
47,23030.5,1.11443,1.35869,1.19945,0.62919,0.50843,0.55294,0.39959,1.05013,1.10232,1.14633,0.0090892,0.0090892,0.0090892
48,23552.8,1.11222,1.35977,1.19455,0.63169,0.50988,0.5553,0.40075,1.04823,1.09893,1.14492,0.0090694,0.0090694,0.0090694
49,24042.3,1.11372,1.35677,1.196,0.64492,0.50894,0.55712,0.40244,1.04739,1.0957,1.14407,0.0090496,0.0090496,0.0090496
50,24567.2,1.11383,1.35434,1.19539,0.63033,0.51491,0.55751,0.40247,1.04702,1.09368,1.14325,0.0090298,0.0090298,0.0090298
51,25080.2,1.11036,1.35329,1.19624,0.632,0.51399,0.55832,0.403,1.04661,1.09261,1.14251,0.00901,0.00901,0.00901
52,25629.6,1.11438,1.34936,1.19549,0.63288,0.51554,0.5593,0.40396,1.04566,1.09053,1.14129,0.0089902,0.0089902,0.0089902
53,26180.7,1.10711,1.34057,1.19125,0.62203,0.52297,0.56046,0.40485,1.04496,1.08806,1.14048,0.0089704,0.0089704,0.0089704
